"","","","","","","","","","","","","","","","","",""
"TABLE 1","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","HYDROGRAPH","NETWORK","","STATIONS","OF","GUJARAT","AND","UT OF","DAMAN","&","DIU MAY","2016","",""
"WATER
District","DATA OF
Location","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K",""
"","","","uS/cm","mg/L","","","","","","","","","","TH","Na","K",""
"District","Location","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","","863","2.0",""
"Diu","Diu","8.20","","","","0 549","3226","66","270","0,20","450","180","456","","","","42"
"Diu","Gomtimata","7.82","10640","7129","","0 207","4467","16","72","0.01","170","560","600","3900","1260","9.5",""
"","","","13030","8730","","","","","","","","","79","410","152","",""
"Diu","Jolawadi","7.29","","","","0 695","99","15","15 13","1.35","570","32","","","","1.9",""
"Dohad
Dohad","Ambakatch
Badpa","8.14
7.94","1422
1398","953
937
456","","512 0
0 244","135","78","5 102
25 10","5.48
1.25","420
200","68
28","31","300
280","201 30 217","30 5.7",""
"Dohad","Dadhela","8.21","680","456","","342","305","135","72","0.70","280","","60","67 430","","",""
"Dohad","Dahod Garege","8.03","1792","1201","","0","234","","70 71","1.28","440","","32","400 77","234","","2.8"
"","Dahod GEB","8.04","1715","1149","","","","","","2.70","440","","72","62 440","280","","6.8"
"Dohad","Dahod","","2079","1393","","0 537","305","195","8","","","","","43 350","","70","1.3"
"Dohad","Dahod1 (Forest)","8.27","","620","","0 244","106","100","64","1.28","200","","68","","158","","5.0"
"Dohad","Dahod2 (Jilla
Devgadh Baria","Sew 8.11
7.86","926
1300","620
871","","0 293","241","","40 33
40","1.00","240","","64
36","36
29 210","","84","4.1"
"Dohad","Devgadh","","","","","342","","43","9 40","","","","","","","","0.8"
"Dohad","Garadu","8.23","716","480","","0","695 886","440","199","2.70","570","160","168","1100","600","","4.2"
"","","","4650","3116","","","","","","","","","","31 220","","98",""
"Dohad","Garbara","7.99","","563","","0","427","43","14 7","1.00","350","","36","700","140","11.0",""
"Dohad","Kanjetha","8.11","840","","","0","305 518","","23 15","0.77","250","168","","67","","","5.2"
"Dohad","Limbdi2","7.72","1956","1311
732","","0","500","57","20 33","3.20","410","","32","65","350","50","9.1"
"Dohad","Panchwada","8.14","1093","732","","0","427","57","22 8","0.96","350","350","112","14","340","",""
"","","8.12","927","621","","","","","","","","","52","22","220","130","1.7"
"Dohad","Sarswa","","","657","","36","378","57","45 12","0.90","","370","","","","71","3.7"
"Dohad","Sukhsar","8.52","980","657","","0","366","113","37 28","1.29","","300","52","58","370","",""
"","Tokarba","7.90","956","641","","0","","","","1.20","","240","44","55","340","40","2.3"
"Dohad
Dohad","Tokarba
Varamkheda","8.13","","715 479","","0","293","71","9 72
27 93","0.45","","180","32","53","300","270","10.0"
"Dohad","","","1509","1011","","0","220","411","","","","","","132 1050","","356","40.0"
"Gandhinagar","Paliya","8.27","","","","0","1476","355","140 40","","1.04 1210","","200","","","751","16.7"
"","","","3694","2475","","","","","","","","","","117","600","",""
"Gandhinagar","Serthapara","7.96","","","","","695","909","160 4","","5.52","750","48","","","",""
"","","","4443","2977","","108","","","","","","","","61","400","161","1.7"
"Jamnagar","Ambaliya","8.49","","","","0","445","192","50 66","","0.76","365","60","","","","3.3"
"Jamnagar","Ambardi","","8.06 1422","953
826 553","","0","390","78","2 34","","0.80","320","52
80","10
49","170
400","470","38.0"
"Jamnagar","Amran1","","8.42 2787","1867","","132","525","497","46 21","","1.10","650","128","41","490","80","4.0"
"Jamnagar","Aramda","","","","","0","439","185","18 23","","0.45","360","","","","280","7.2"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"TABLE 3","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","165","51","0.70","200","96","24","380","","",""
"","","8.05","1172","785","0","244","163","","","0.77","270","24","44","240","151","0.3",""
"Jamnagar","Haripur2","8.26","1074","720","0","329","163","36","33","0.39","260","48","32","250","156","0.5",""
"Jamnagar","Jambuda","8.06","1137","762","0","317","178","21","55","","300","88","92","600","292","4.1",""
"","Jamnagar2","8.06","","","","","","190","30","0.30","","","","","","",""
"Jamnagar","","8.07","2476","1659","0","366","525","","","0.44","300","40","59","320","112","2.4",""
"Jamnagar
Jamnagar","Juvanpur
Kalawad","8.28","968
1296","649
868","0
0","366
268","114
277","25
26","76
24","0.50","220
500","48
104","27
146","230
860","199
526","1.8
2.2",""
"Jamnagar","Kalyanpur1","7.92","1296
3979","2666","0","610","923","80","105","4.32","500
170","240","126","1120","228","2.3",""
"Jamnagar","Kalyanpur2","8.20","3979
3248","2176","0","207","852","230","41","0.20","170
250","76","29","310","75","1.2",""
"Jamnagar","Khirsara","7.89
8.28","823","551","0","305","92","50","48","0.40","280","52","58","370","164","0.6",""
"Jamnagar","Kuvadia","8.28","1385","928","0","342","234","43","74","0.25","220","192","117","960","535","2.0",""
"Jamnagar","Lalpur1","8.05
7.92","1385
4255","2851","0","268","1108","95","233","0.62
0.20","220
130","320","112","1260","120","0.5",""
"Jamnagar","Lamba","7.71","2972","1991","0","159","809","30","202","0.20
1.60","500","160","109","850","810","58.1",""
"Jamnagar","Manpur","7.71","5226","3501","0","610","1456","12","16","1.60","","272","136","1240","156","2.0",""
"Jamnagar","Mojap","8.28","5226
3039","2036","0","195","809","13","242","0.40","160
250","272
52","24","230","125","1.4",""
"Jamnagar","Mota kalawad","7.79","929","622","0","305","135","43","22","0.51","400","68","34","310","138","12.6",""
"Jamnagar","Moti matli","8.07","1079","723","0","488","142","7","10","0.39","400
98","224","112","1020","333","10.4",""
"Jamnagar","Nikava","8.28","1079
3526","2362","0","120","1008","5","192","0.50","98
250","56","41","310","145","0.4",""
"Jamnagar","Pindara","7.94","3526
1249","837","0","305","234","28","17","0.29","250
471","12","12","80","361","13.4",""
"Jamnagar","Raval","7.92","1659","1112","132","306","135","155","70","1.40","370","320","413","2500","1565","18.9",""
"Jamnagar","Salaya","8.94
7.75","10650","7136","0","451","3799","4","87","4.32
0.35","370
230","72","354","470","117","0.4",""
"Jamnagar","Samrasar","7.75
8.08","1284","860","0","281","185","105","138","0.35","180","108","46","460","77","0.8",""
"Jamnagar","Seth vadala","8.08
8.21","1206","808","0","220","135","230","65
52","0.31
0.45","400","88","49","420","106","7.1",""
"Jamnagar","Toda","","1113","746","0","488","114","40","52","","220","360","231","1850","1131","14.2",""
"Jamnagar","Vadtara","8.27","8026","5377","0","268","2698","50","185","0.80","220
420","76","36","340","129","0.4",""
"Jamnagar","Varwada","7.52","8026
1052","705","0","512","99","21","39","0.50","420
240","52","22","220","136","0.8",""
"Jamnagar","Vedpanchasara","8.27","1052
964","646","0","293","156","35","22","0,60","240","89","77","530","98","1.8",""
"Jamnagar","Vijarkha","8.15","964
1389","931","0","268","269","34","106","0.64","220
120","500","44","3050","1325","21.1",""
"Junagadh","Ajotha","7.97","10410","6975","0","146","3728","52","425","0.02","","760","158","2550","1177","33.5",""
"Junagadh","Antroli","7.51","10410","6868","0","146","2876","50","806","0.20","120","","401","3850","399","4.2",""
"","","7.49","10250","6868","","","","","","0.25","90","880","401","","","",""
"Junagadh","Arena","7.30","8244","5523","0","110","3018","76","244","0.25
0.67","490","168","112","880","851","12.3",""
"Junagadh","Bamanwara","8.00","5505","3688","0","598","1448","37","134","0.67","260","64","65","430","70","2.2",""
"Junagadh","Bantva","8.00","1039","696","0","317","113","49","115","0.75","420","80","126","720","127","0.6",""
"Junagadh","Bhimdeval","7.94","1854","1242","0","512","312","140","15","0.68","410","152","44","560","194","4.3",""
"Junagadh","Bilkha","7.84
8.23","1820","1219","0","500","369","49","3","0.80","410
290","44","41","280","33","2.0",""
"Junagadh","Budhecha","8.23
8.29","680","456","0","354","35","6","4","0.86","150","48","34","260","280","2.9",""
"Junagadh","Dhokadva","8.29","1734","1162","0","183","383","4","161","0,30","250","72","46","370","32","0.9",""
"Junagadh","Galodar","8,01
7.99","709","475","0","305","50","43","79","0.35
1.26","250
270","64","27","270","113","2.0",""
"Junagadh","Girgadhada","","925","620","0","329","114","46","41","1.26","250","24","60","310","25","0.8",""
"Junagadh","Gorajt","7.93
8.18","615","412","0","305","28","12","61","0.36
0.30","250
220","72","34","320","82","2.2",""
"Junagadh","Jargali","7.99","980","657","0","0 268","149","60","16","","200","76","26","290","29","3.9",""
"Junagadh","Junagadh1","7.99
8.04","678","454","","0 244","92","18","6","0.35","120","960","268","3250","339","3.7",""
"Junagadh","Juthal","8.04","","4878","","0 146","2556","120","113","0.45","","112","170","3500","731","17.9",""
"Junagadh","Kalej","7.37","7280","6627","","0 220","3124","24","409","0.30","180","100","60","500","113","12.3",""
"Junagadh","Kanek","7.39
8.19","9891
1442","966","","0 622","121","35","33","0.2","510
150","56","36","290","120","22.8",""
"Junagadh","Kansari","7.88","996","667","","0 183","206","130","5","","280","272","34","820","523","17.2",""
"Junagadh","Kewarda","","3926","2630","","0 342","966","34","258","0.30","","120","88","660","292","6.0",""
"Junagadh","Khambalia1","7.76","3926
2553","1711","","0 634","440","46","103","0.88","520","144","49","560","346","29.6",""
"Junagadh","Khokharda","8.10","2553
2688","1801","","0 293","596","14","200","0.28","240
200","96","66","510","105","1.0",""
"Junagadh","Khorada1","8.07","1372","919","","0 244","249","70","120","0.28","340","76","142","780","132","1.4",""
"Junagadh","Khoras ahir","7.8","2000","1340","","0 415","432","33","78","0.75","340","700","49","1950","1041","2.9",""
"Junagadh","Kodinar1","7.93","8320","5574","","0 122","2450","28","566","0.20","260","320","377","2350","1220","24.6",""
"Junagadh","Kukaswada","7.47","8453","5664","","0 317","2840","37","628","0,44","120","460","413","2850","1535","12.1",""
"Junagadh","Lohej","7.31","10680","7156","","0 146","3799","","26 594","0.02","210","","41","400","145","2.9",""
"Junagadh","Maktupur1","7.37","1366","915","","0 256","320","41","13","0.62","","","60","230","","69 0.6",""
"Junagadh","Manketara","7.96","1366","","","0","57","57","36 17","0.53","250","","","","","32 0.4",""
"Junagadh","","","758","508","","0","","","","","190","","56","34 280","","",""
"Junagadh","Mendarda1","8.21","674","452","","0 232","","57","14 63","0.57","160","","44","27 220","","47 0.2",""
"Junagadh","Moraj","7.98","615","412","","0 195","107","","11 0","0.47","","","52","53 350","","90 3.5",""
"Junagadh","Patla","8.12","951","637","","0 366","106","","26 67","1.32","300 340","104","","67 540","","48","1.3"
"Junagadh","Prasli","8.11","1160","777","","0 415","106","","70 92","0.30","","","60","79 480","137","1.1","1.1"
"Junagadh","Prempara","7.95","1441","965","","0 464","206","","49 61","0.11","380 420","","64","83 500","689","10.0",""
"Junagadh","Sametar","8.17","3973","2662","","0","512 753","","1 478","1.48","180","144","","58 600","186","","0.9"
"Junagadh","Sepa","8.07 7.88","2007","1345","","0","220 383","165","137","0,48","160","480","231","2150","1800","10.7",""
"Junagadh","Seriakhan","","12250","8208","","0","195 3444","","22 926","0.34","120","","144","32","490 138","","9,9"
"Junagadh","Shardagram","7.54","1584","1061","","0","146 376","","115 39","0.01","190","","176","83","780 621","21.9",""
"Junagadh","Sil","8.18","4275","2864","","0","232 1193","","35 198","0.50","470","","56","134","700","160","0.6"
"Junagadh","Sil bandar
Una2","8.19","1945","1303","","0","573","276","130 72
90 26","0.82","300","","160","726","720","96","1.4"
"Junagadh","Una2","","1726","1156","","0","366","369","","","","300","52","63","390","175","1.7"
"Junagarh","Anandpur","8.04","1518","1017","","0","366","192","100 109","","0.6","240","60","38","310","31","1.5"
"Junagarh","Chokhli","8.25","","472","","0","293","50","16 49","0.88","","","68","46","360","24","0.1"
"Junagarh","Govindpara","7.87","","531","","0","329","43","9 71","0.05","","270 220","32","44","260","23","0.3"
"Junagarh","Kasiya naka","7.89","","403","","0","268","50","12 8","","0.28","200","920","58","470","225","2.7"
"Junagarh","Kenedipur","","8.10","1277","","0","244","518","4 15","","0.23","","280","156","1290","","6.2"
"Junagarh","Saradiya","","7.97 1906","5574","","0","195 2765","","32 10","","1.10","160","","276","1850","910","5.7"
