Well No.,District,Taluka,Location,Date,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR
W215430069494501,Jamnagar,BHANVAD,Mota kalawad,May 2018,8.02,4352,2915.84,0,134,1319,85,126,0.47,110,360,221.0,1810,165,2.0,1.69
W221900070155001,Jamnagar,KALAVAD,Moti matli,May 2018,8.02,1570,1051.9,0,287,220,37,201,0.68,235,56,95.0,530,120,1.5,2.27
W221820069361501,Jamnagar,KHAMBHALIA,Salaya,May 2018,6.67,1625,1088.75,0,433,191,72,122,0.46,355,28,107.0,510,132,8.9,2.54
W222230069061502,Jamnagar,OKHAMANDAL,Samrasar1,May 2018,7.6,26580,17808.6,0,342,7347,9,2490,1.12,280,840,434.0,3885,4300,15.2,29.99
W220200070073001,Jamnagar,JAMJODHPUR,Seth vadala,May 2018,7.87,1600,1072.0,0,390,252,105,41,0.22,320,72,95.0,570,105,0.4,1.91
W220345070230001,Jamnagar,KALAVAD,Toda,May 2018,8.02,870,582.9,0,214,110,120,5,0.54,175,52,36.0,280,70,1.3,1.82
W221400070070001,Jamnagar,LALPUR,Vad panchasara,May 2018,7.96,620,415.4,0,140,113,10,24,0.39,115,44,27.0,220,40,2.2,1.17
W221230069300001,Jamnagar,KHAMBHALIA,Vadtara,May 2018,8.01,1082,724.94,0,336,110,40,75,0.4,275,68,46.0,360,83,0.8,1.9
W221730068580001,Jamnagar,OKHAMANDAL,Varwada,May 2018,7.59,8010,5366.7,0,354,2319,65,343,0.23,290,280,288.0,1885,953,4.7,9.54
W222500070110001,Jamnagar,JAMNAGAR,Vijarkha,May 2018,8.05,870,582.9,0,140,177,5,65,0.39,115,20,61.0,300,62,0.5,1.56
W220900069360001,Jamnagar,KHAMBHALIA,Vinjhalpur,May 2018,7.55,2130,1427.1,0,354,376,80,175,0.39,290,140,112.0,810,116,1.7,1.77
W205320070281502,Junagadh,VERAVAL,Ajotha,May 2018,7.85,1540,1031.8,0,293,298,50,65,0.859,240,140,56.0,580,85,1.7,1.53
W211350070381501,Junagadh,TALALA,Alwani,May 2018,8.24,960,643.2,0,329,57,2,125,0.348,270,56,44.0,320,75,0.9,1.82
W210032070433301,Junagadh,Talala,Amervel Nes,May 2018,7.69,915,613.05,0,342,50,1,105,0.354,280,104,18.0,335,58,0.5,1.38
W212437070310501,Junagadh,JUNAGADH,Anandpur,May 2018,7.95,1752,1173.84,0,122,454,60,81,0.43,100,160,65.0,670,92,0.5,1.55
W210249070395301,Junagadh,TALALA,Ankolvadi,May 2018,7.57,975,653.25,0,317,92,21,77,0.486,260,108,19.0,350,63,1.2,1.46
W210450070103501,Junagadh,MANGROL,Arena,May 2018,7.6,9890,6626.3,0,250,2915,60,525,0.03,205,744,156.0,2505,1089,31.0,9.46
W211315070032001,Junagadh,MANGROL,Bamanwara,May 2018,7.49,9200,6164.0,0,110,3128,90,25,0.11,90,1080,293.0,3905,310,3.3,2.16
W212915070050001,Junagadh,MANAVADAR,Bantva,May 2018,8.08,2760,1849.2,0,439,621,27,115,0.45,360,40,7.0,130,572,4.8,21.81
W205839070363301,Junagadh,Talala,Bhim Deval,May 2018,7.79,1066,714.22,0,177,106,40,200,0.856,145,128,5.0,340,89,2.9,2.1
W210545070130001,Junagadh,MALIA,Budhecha,May 2018,7.84,1547,1036.49,0,244,358,39,35,0.39,200,62,20.0,240,240,4.4,6.74
W213607070323001,Junagadh,JUNAGADH,Chokli,May 2018,6.33,2010,1346.7,0,317,447,105,25,0.52,260,48,83.0,460,248,1.1,5.03
W204510070551001,Junagadh,UNA,Girgadhada,May 2018,7.86,793,531.31,0,305,71,44,10,0.382,250,92,15.0,290,49,0.6,1.25
W211100070091502,Junagadh,MANGROL,Goraj1,May 2018,8.48,850,569.5,18,207,128,39,15,0.89,200,20,19.0,130,135,3.1,5.15
W205645070234501,Junagadh,VERAVAL,Govindpura2,May 2018,8.2,760,509.2,0,159,71,16,135,0.79,130,96,2.0,250,61,2.1,1.68
W210145070363001,Junagadh,TALALA,Jambur[madhapar,May 2018,7.55,1089,729.63,0,342,78,9,140,0.395,280,96,36.0,390,70,0.9,1.54
W205900070454501,Junagadh,UNA,Jamvala1,May 2018,8.05,810,542.7,0,256,64,4,100,0.53,210,76,22.0,280,59,1.0,1.53
W205251070590301,Junagadh,Una,Jargla Jargali,May 2018,8.34,791,529.97,24,122,78,8,135,0.743,140,68,22.0,260,63,0.9,1.7
W213100070273001,Junagadh,JUNAGADH,Junagadh1,May 2018,7.65,1030,690.1,0,189,170,110,25,0.3,155,88,36.0,370,67,1.8,1.51
W211000070160001,Junagadh,MALIA,Juthal,May 2018,8.04,740,495.8,0,220,60,13,90,0.41,180,60,34.0,290,35,2.4,0.89
W211620070284701,Junagadh,MENDARDA,Kanedipur,May 2018,7.85,716,479.72,0,252,78,10,20,0.0,207,60,36.0,300,23,0.1,0.58
W205212071030401,Junagadh,Una,Kansari,May 2018,7.28,1990,1333.3,0,598,206,65,151,0.962,490,156,24.0,490,220,15.8,4.32
W211613070405001,Junagadh,Vasavadar,Kasia Naka Check Post,May 2018,8.14,750,502.5,0,244,78,10,54,0.426,200,60,24.0,250,58,0.1,1.59
W204747070563101,Junagadh,Una,Kesariyaji,May 2018,7.91,860,576.2,0,329,71,20,43,1.235,270,100,0.0,250,80,5.4,2.2
W210240070113001,Junagadh,MALIA,Khambalia1,May 2018,7.84,4350,2914.5,0,134,1355,26,135,0.0,110,330,89.0,1200,355,166.0,4.46
W210350070102501,Junagadh,MANGROL,Khorada1,May 2018,8.17,1350,904.5,0,342,227,10,60,0.0,280,88,24.0,320,140,36.0,3.4
W212215070202001,Junagadh,VANTHALI,Khoras ahir,May 2018,7.79,1470,984.9,0,439,219,37,35,0.0,30,152,48.0,580,70,1.7,1.26
W204800070413002,Junagadh,KODINAR,Kodinar1,May 2018,7.83,2488,1666.96,0,403,539,47,110,1.088,330,132,90.0,700,248,1.1,4.08
W210900070074501,Junagadh,MANGROL,Manketara,May 2018,8.11,1010,676.7,0,268,135,50,52,0.54,220,76,34.0,330,80,3.2,1.91
W211930070260001,Junagadh,MENDARDA,Mendarda1,May 2018,7.86,1420,951.4,0,220,269,50,105,0.07,180,80,89.0,570,63,1.6,1.15
W205900070261001,Junagadh,VERAVAL,Moraj,May 2018,7.8,1250,837.5,0,305,213,24,48,1.141,250,108,5.0,290,150,0.3,3.83
W213630070340001,Junagadh,BHESAN,Patla,May 2018,7.71,725,485.75,0,165,142,12,15,0.48,135,56,22.0,230,59,1.2,1.69
W205103070400901,Junagadh,Kodinar,Prasli,May 2018,8.18,878,588.26,0,256,121,22,40,1.392,210,60,17.0,220,97,7.4,2.84
W211800070420001,Junagadh,VISAVADAR,Prempara,May 2018,7.66,2475,1658.25,0,329,142,100,655,0.524,270,124,146.0,910,155,1.0,2.23
W205115071071501,Junagadh,UNA,Samter,May 2018,7.98,1890,1266.3,0,488,163,47,260,0.55,400,108,36.0,420,236,6.2,5.01
W213519070021501,Junagadh,VANTHALI,Saradiya,May 2018,8.12,1960,1313.2,0,342,447,25,48,0.47,280,64,63.0,420,260,2.4,5.52
W210800070145501,Junagadh,MANGROL,Seriakhan,May 2018,7.92,1180,790.6,0,281,99,43,177,0.46,230,84,48.0,410,82,2.0,1.76
W210615070091001,Junagadh,MANGROL,Shardagram,May 2018,7.63,9610,6438.7,0,244,3074,81,195,0.01,200,484,254.0,2255,1167,7.5,10.68
W211108070024701,Junagadh,MANGROL,Sil,May 2018,8.14,578,387.26,0,183,74,12,20,0.42,150,64,17.2,230,26,16.0,0.75
W211325070032001,Junagadh,MANGROL,Sil bandar,May 2018,7.78,7822,5240.74,0,195,2628,43,57,0.45,160,422,231.0,2005,875,33.0,8.5
W210305070313001,Junagadh,TALALA,Talala1,May 2018,7.53,1400,938.0,0,366,106,29,215,0.552,300,124,19.0,390,140,0.5,3.08
W204930071023001,Junagadh,UNA,Una2,May 2018,8.35,3022,2024.74,54,403,560,27,275,1.455,420,68,102.0,590,425,3.5,7.61
