WELL NO.,DISTRICT,TALUKA,LOCATION,DATE,PH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,ALK,CA,MG,TH,NA,K,SAR
W214330072450001,Bharuch,VAGRA,Bhensli,May-18,7.97,1301.0,871.67,0.0,268.0,277.0,10.0,21.0,0.46,220.0,32.0,56.0,310.0,147.0,15.2,3.63
W220736072401101,Bharuch,Jambusar,Chhindra,May-18,8.05,1145.0,767.15,0.0,281.0,177.0,68.0,36.0,0.44,230.0,72.0,51.0,390.0,48.0,62.0,1.06
W221105072355001,Bharuch,JAMBUSAR,Dahegam,May-18,7.77,1780.0,1192.6,0.0,342.0,340.0,88.0,55.0,0.26,280.0,100.0,73.0,550.0,135.0,40.0,2.5
W213545073100901,Bharuch,Valia,Jokhla,May-18,7.96,1050.0,703.5,0.0,342.0,121.0,18.0,62.0,1.28,280.0,68.0,27.0,280.0,110.0,1.9,2.86
W220107072454701,Bharuch,JAMBUSAR,Kalak_1,May-18,8.36,1223.0,819.41,66.0,110.0,213.0,15.0,95.0,0.49,200.0,36.0,58.0,330.0,125.0,2.9,2.99
W214100072490001,Bharuch,BHARUCH,Kaswa,May-18,8.09,2725.0,1825.75,0.0,500.0,411.0,23.0,335.0,0.49,410.0,40.0,114.0,570.0,343.0,32.0,6.25
W221137072382201,Bharuch,JAMBUSAR,Kavi,May-18,8.39,1869.0,1252.23,84.0,232.0,191.0,70.0,265.0,0.66,330.0,36.0,39.0,250.0,125.0,310.0,3.44
W213450073040501,Bharuch,VALIA,Kondh,May-18,8.24,800.0,536.0,0.0,232.0,106.0,6.0,58.0,0.85,190.0,36.0,27.0,200.0,91.0,3.3,2.8
W213200073171501,Bharuch,VALIA,Mokhdi,May-18,7.85,820.0,549.4,0.0,207.0,64.0,43.0,110.0,0.6,170.0,68.0,39.0,330.0,35.0,0.6,0.84
W213320072531501,Bharuch,ANKLESVAR,Motwan,May-18,8.16,2715.0,1819.05,0.0,244.0,567.0,21.0,333.0,1.08,200.0,48.0,102.0,540.0,373.0,12.2,6.98
W214100073011001,Bharuch,ANKLESVAR,Mulad,May-18,7.98,2266.0,1518.22,0.0,390.0,440.0,24.0,155.0,0.72,320.0,56.0,73.0,440.0,310.0,2.4,6.43
W214228072495001,Bharuch,BHARUCH,Navetha,May-18,7.82,2225.0,1490.75,0.0,366.0,450.0,11.0,158.0,0.38,300.0,128.0,97.0,720.0,145.0,42.0,2.35
W213800073220001,Bharuch,VALIA,Netrang,May-18,8.36,715.0,479.05,42.0,146.0,78.0,32.0,10.0,0.77,190.0,84.0,24.0,310.0,12.0,0.4,0.3
W214730072400501,Bharuch,VAGRA,Nirnavi,May-18,7.76,1106.0,741.02,0.0,439.0,92.0,20.0,45.0,0.59,360.0,76.0,39.0,350.0,85.0,20.5,1.98
W213215072583001,Bharuch,ANKLESVAR,Panoli,May-18,7.52,5530.0,3705.1,0.0,451.0,1454.0,50.0,295.0,1.34,370.0,128.0,190.0,1100.0,777.0,3.0,10.19
W215500072473001,Bharuch,AMOD,Roja tankaria,May-18,8.1,1341.0,898.47,0.0,256.0,298.0,6.0,41.0,0.48,210.0,52.0,49.0,330.0,141.0,14.6,3.37
