DISTRICT,YEAR,WAWQI
Bharuch,2014,23.303428571428572
Junagadh,2019,23.242334366925064
Rajkot,2014,22.99676388888889
Rajkot,2015,22.986346405228762
Bharuch,2021,22.901940170940172
Bhavnagar,2015,22.606291666666667
Anand,2021,22.478244444444446
Kheda,2015,22.384849206349205
Rajkot,2019,22.26678984126984
Bharuch,2019,22.162506944444445
Mahesana,2017,22.14382051282051
Bhavnagar,2014,22.126984126984127
Anand,2017,21.74134188034188
Sabar Kantha,2017,21.54524074074074
Anand,2020,21.453046296296296
Vadodara,2021,21.335472222222222
Junagadh,2017,21.27940425531915
Anand,2016,21.272259259259258
Surendranagar,2017,21.248222222222225
Mahesana,2019,21.185036363636364
Mahesana,2015,21.049251851851853
Bhavnagar,2016,21.04877777777778
Jamnagar,2021,20.948940379403798
Rajkot,2020,20.93074300653595
Bhavnagar,2017,20.83602777777778
Junagadh,2018,20.765759241192413
Surendranagar,2016,20.637769230769234
Mahesana,2020,20.448824296296298
Kheda,2014,20.396703703703704
Junagadh,2020,20.182676475095786
Amreli,2018,20.176951051051052
Bhavnagar,2021,19.96942222222222
Bharuch,2015,19.77117094017094
Anand,2018,19.763741666666668
Junagadh,2021,19.75771794871795
Amreli,2020,19.720405714285715
Amreli,2021,19.531499999999998
Jamnagar,2020,19.23491703030303
Anand,2015,19.10611111111111
Sabar Kantha,2020,18.89091687830688
Mahesana,2018,18.877686904761905
Bharuch,2018,18.553196374269007
Surendranagar,2015,18.54600766283525
Vadodara,2015,18.496742063492064
Banas Kantha,2021,18.298569444444446
Sabar Kantha,2014,18.24188888888889
Anand,2014,18.217676767676767
Sabar Kantha,2018,18.03536942942943
Bhavnagar,2019,17.99198148148148
Vadodara,2014,17.883301075268818
Vadodara,2017,17.792526748971195
Vadodara,2020,17.75569393162393
Bhavnagar,2020,17.71981736111111
Bharuch,2020,17.68558416666667
Sabar Kantha,2015,17.51624269005848
Sabar Kantha,2019,17.498266296296297
Bharuch,2017,17.32773946360153
Amreli,2015,17.32257181571816
Navsari,2018,17.131062564102564
Mahesana,2021,17.034861111111113
Dahod,2016,17.023660130718955
Dahod,2021,17.01147435897436
Banas Kantha,2015,16.99735042735043
Navsari,2017,16.96415384615385
Banas Kantha,2020,16.813508518518518
Dahod,2017,16.759261111111112
Banas Kantha,2014,16.610555555555557
Navsari,2015,16.55968686868687
Sabar Kantha,2021,16.5525350877193
Banas Kantha,2016,16.523088034188035
Sabar Kantha,2016,16.341473015873017
Dahod,2020,16.328986507936506
Banas Kantha,2018,16.24538841269841
Anand,2019,15.819788888888889
Bharuch,2016,15.814291666666668
Panch Mahals,2016,15.664333333333333
Dahod,2014,15.435830409356724
Dahod,2018,15.334214795321639
Banas Kantha,2017,15.308444444444445
Navsari,2016,15.203690058479532
Dahod,2019,15.157032679738563
Dahod,2015,14.954216666666667
Panch Mahals,2017,14.541034188034189
Banas Kantha,2019,14.535453703703704
Surat,2016,14.392808510638298
Navsari,2014,14.32040277777778
Navsari,2021,14.309499999999998
Navsari,2019,14.068101851851852
Narmada,2015,13.801342592592592
Vadodara,2016,13.59711111111111
Vadodara,2018,13.514394962962964
Narmada,2017,13.479363636363637
Narmada,2014,13.23138888888889
Surat,2014,13.060574525745258
Surat,2019,12.988091269841272
Panch Mahals,2014,12.91140170940171
Panch Mahals,2018,12.733065308641976
Surat,2021,12.61133015873016
Valsad,2016,12.48520634920635
Panch Mahals,2015,12.18349808429119
Panch Mahals,2019,12.094146666666665
Panch Mahals,2020,12.062507318007663
Surat,2015,11.804642857142857
The Dangs,2020,11.799592824074075
Narmada,2019,11.721314814814814
Surat,2017,11.583239583333334
Narmada,2018,11.388788547008547
Panch Mahals,2021,11.366014336917562
Surat,2018,11.173945656565657
Valsad,2017,10.689584795321638
Valsad,2014,10.122719806763286
Valsad,2015,9.852909722222224
Valsad,2019,9.816751633986929
