DISTRICT,LOCATION,PH,EC,ALK,SO4,CO3,F,MG,HCO3,TDS,YEAR,NO3,TH,CL,NA,CA,K
Bhavnagar,Dhasa,7.8,1950.0,430.0,98.0,0.0,0.26,68.0,525.0,1307.0,2014,3.5,550.0,305.0,194.0,108.0,6.2
Bhavnagar,Gadhada2,7.9,1125.0,310.0,61.0,0.0,0.15,27.0,378.0,754.0,2014,34.0,360.0,114.0,94.0,100.0,0.4
Bhavnagar,Ningala,7.8,998.0,320.0,13.0,0.0,0.5,17.0,390.0,669.0,2014,15.0,160.0,114.0,161.0,36.0,1.5
Bhavnagar,Gariyadhar,7.7,2660.0,260.0,186.0,0.0,0.42,117.0,317.0,1782.0,2014,190.0,980.0,525.0,174.0,200.0,0.2
Bhavnagar,Ghogha,7.7,6760.0,440.0,119.0,0.0,0.6,109.0,537.0,4529.0,2014,380.0,700.0,1669.0,1176.0,100.0,98.1
Bhavnagar,Dudhala,7.6,2227.0,230.0,106.0,0.0,0.6,83.0,281.0,1492.0,2014,130.0,700.0,440.0,173.0,144.0,32.6
Bhavnagar,Longadi,8.1,814.0,280.0,71.0,0.0,0.53,22.0,342.0,545.0,2014,2.0,200.0,57.0,110.0,44.0,26.0
Bhavnagar,Mahuva1,7.9,3444.0,840.0,160.0,0.0,1.15,14.0,1025.0,2307.0,2014,70.0,180.0,483.0,725.0,40.0,1.8
Bhavnagar,Motivadal,8.0,1158.0,450.0,15.0,0.0,0.35,58.0,549.0,776.0,2014,12.0,420.0,128.0,110.0,72.0,10.2
Bhavnagar,Shantinagar,7.9,2030.0,420.0,135.0,0.0,0.3,88.0,512.0,1360.0,2014,12.0,780.0,369.0,146.0,168.0,5.9
Bhavnagar,Khijadiya,7.8,1425.0,590.0,28.0,0.0,0.8,15.0,720.0,955.0,2014,55.0,130.0,121.0,326.0,28.0,12.8
Bhavnagar,Panchpipla,8.0,1150.0,340.0,17.0,0.0,0.8,27.0,415.0,771.0,2014,20.0,230.0,135.0,156.0,48.0,0.0
Bhavnagar,Sajnasar,8.0,1446.0,250.0,45.0,0.0,0.42,54.0,305.0,969.0,2014,58.0,470.0,263.0,115.0,100.0,1.1
Bhavnagar,Satanes,7.8,1451.0,540.0,13.0,0.0,0.4,41.0,659.0,972.0,2014,22.0,480.0,121.0,122.0,128.0,7.8
Bhavnagar,Sandhida,8.0,745.0,250.0,10.0,0.0,0.35,32.0,305.0,499.0,2014,2.0,290.0,92.0,48.0,64.0,2.1
Bhavnagar,Datha,8.0,2665.0,470.0,82.0,0.0,0.7,29.0,573.0,1786.0,2014,2.0,220.0,554.0,520.0,40.0,2.6
Bhavnagar,Talaja2,8.1,1910.0,410.0,58.0,0.0,0.35,10.0,500.0,1280.0,2014,100.0,140.0,284.0,376.0,40.0,0.2
Bhavnagar,Trapaj,7.9,1641.0,280.0,115.0,0.0,0.6,92.0,342.0,1099.0,2014,280.0,690.0,170.0,83.0,124.0,0.7
Bhavnagar,Bhutia,7.9,1955.0,260.0,53.0,0.0,0.3,63.0,317.0,1310.0,2014,95.0,640.0,412.0,157.0,152.0,0.6
Bhavnagar,Jalia,7.7,4070.0,350.0,113.0,0.0,0.5,223.0,427.0,2727.0,2014,70.0,1680.0,1093.0,187.0,304.0,6.1
Bhavnagar,Porbada,8.2,890.0,310.0,29.0,0.0,0.75,24.0,378.0,596.0,2014,15.0,280.0,99.0,99.0,72.0,3.7
Bhavnagar,Timbi2,8.2,404.0,160.0,12.0,0.0,0.1,15.0,195.0,271.0,2014,8.0,140.0,43.0,46.0,32.0,1.4
Bhavnagar,Lonjdhara,8.2,1338.0,520.0,28.0,0.0,2.2,24.0,634.0,896.0,2014,25.0,160.0,99.0,256.0,24.0,0.6
Bhavnagar,Panvi1,8.2,2800.0,898.0,55.0,0.0,2.0,24.0,1095.0,1876.0,2014,19.0,160.0,341.0,599.0,24.0,13.3
Bhavnagar,Vallbhipur,7.9,6384.0,830.0,118.0,0.0,2.4,73.0,1013.0,4277.0,2014,9.0,400.0,1562.0,1287.0,40.0,1.1
Bhavnagar,Ayodhyapuram,8.2,4550.0,1370.0,151.0,0.0,4.4,19.0,1671.0,3049.0,2014,32.0,120.0,611.0,1066.0,16.0,0.2
Bhavnagar,Boda,8.1,1676.0,424.0,247.0,0.0,1.1,10.0,517.0,1123.0,2014,65.0,90.0,121.0,377.0,20.0,1.5
Bhavnagar,Khundeli,7.9,1841.0,250.0,92.0,0.0,0.4,90.0,305.0,1233.0,2014,85.0,620.0,362.0,144.0,100.0,0.2
Bhavnagar,Piprala,8.2,686.0,230.0,30.0,0.0,0.15,36.0,281.0,460.0,2014,27.0,290.0,71.0,44.0,56.0,0.4
Bhavnagar,Vadala,8.0,922.0,240.0,39.0,0.0,0.26,46.0,293.0,618.0,2014,76.0,330.0,99.0,71.0,56.0,0.0
Bhavnagar,Vavdi,8.0,1170.0,330.0,59.0,0.0,0.35,83.0,403.0,784.0,2014,130.0,470.0,107.0,83.0,52.0,0.1
Dahod,Khandania,8.1,730.0,290.0,129.0,0.0,2.0,27.0,354.0,489.0,2014,20.0,300.0,36.0,91.0,76.0,1.2
Dahod,Salaya1,8.1,841.0,300.0,36.0,0.0,1.0,27.0,366.0,563.0,2014,30.0,180.0,78.0,136.0,28.0,0.5
Dahod,Kanjetha,7.6,720.0,270.0,45.0,0.0,0.85,27.0,329.0,482.0,2014,34.0,230.0,42.0,81.0,48.0,3.1
Dahod,Tokarba,8.0,972.0,190.0,76.0,0.0,0.95,32.0,232.0,651.0,2014,20.0,320.0,170.0,97.0,76.0,1.9
Dahod,Dahod1,8.0,927.0,180.0,57.0,0.0,0.94,29.0,220.0,621.0,2014,115.0,290.0,92.0,81.0,68.0,0.0
Dahod,Dahod2,7.5,1376.0,350.0,207.0,0.0,2.7,41.0,427.0,922.0,2014,6.0,300.0,14.0,137.0,52.0,3.3
Dahod,Varamkheda,7.7,747.0,270.0,22.0,0.0,1.3,29.0,329.0,500.0,2014,22.0,220.0,99.0,108.0,40.0,3.3
Dahod,Sukhsar,8.1,743.0,300.0,36.0,0.0,0.85,22.0,366.0,498.0,2014,32.0,160.0,43.0,123.0,28.0,1.4
Dahod,Garbara,7.7,5303.0,480.0,380.0,0.0,3.0,171.0,586.0,3553.0,2014,45.0,1100.0,1136.0,664.0,160.0,36.6
Dahod,Panchwada,7.9,823.0,230.0,79.0,0.0,1.1,44.0,281.0,551.0,2014,35.0,300.0,64.0,62.0,48.0,2.0
Dahod,Limbdi2,8.2,577.0,250.0,43.0,0.0,1.18,15.0,305.0,387.0,2014,3.0,150.0,50.0,102.0,36.0,4.9
Dahod,Mirakhedi,8.1,861.0,280.0,40.0,0.0,0.82,27.0,342.0,577.0,2014,65.0,250.0,71.0,105.0,56.0,0.2
Dahod,Dadhela,8.0,917.0,280.0,61.0,0.0,1.2,37.0,342.0,614.0,2014,48.0,230.0,78.0,123.0,32.0,5.2
Dahod,Wadia,8.0,3200.0,210.0,169.0,0.0,1.03,144.0,256.0,2144.0,2014,180.0,1200.0,731.0,174.0,244.0,10.6
Dahod,Badpa,8.0,1072.0,310.0,17.0,0.0,2.9,15.0,378.0,718.0,2014,10.0,180.0,135.0,164.0,48.0,1.3
Dahod,Dahod urban 2,8.0,2095.0,370.0,47.0,0.0,2.4,90.0,451.0,1404.0,2014,205.0,500.0,316.0,249.0,52.0,4.0
Dahod,Dahod urban 3,7.8,2464.0,200.0,90.0,0.0,0.55,76.0,244.0,1651.0,2014,44.0,680.0,646.0,264.0,148.0,3.8
Dahod,Garadu,8.0,635.0,280.0,25.0,0.0,0.97,171.0,342.0,425.0,2014,12.0,140.0,50.0,115.0,28.0,2.0
Dahod,Thada,8.0,437.0,160.0,32.0,0.0,1.15,22.0,195.0,293.0,2014,15.0,200.0,43.0,32.0,44.0,5.1
Daman,Khariwad daman,7.72,1248.0,420.0,20.0,0.0,0.6,43.0,512.0,836.0,2014,5.0,320.0,149.0,156.0,56.0,7.0
Daman,Ambabari,7.94,1148.0,450.0,11.0,0.0,0.29,29.0,549.0,769.0,2014,16.0,450.0,113.0,86.0,132.0,10.0
Daman,Dabhel,7.64,712.0,230.0,4.0,0.0,0.27,36.0,281.0,477.0,2014,13.0,340.0,92.0,17.0,76.0,0.4
Daman,Dalwada,7.75,701.0,230.0,7.0,0.0,0.55,41.0,281.0,470.0,2014,1.0,300.0,106.0,42.0,52.0,0.6
Daman,Jempore,7.89,1150.0,440.0,15.0,0.0,0.6,46.0,537.0,771.0,2014,42.0,440.0,71.0,70.0,100.0,7.0
Daman,Manwad,7.98,746.0,320.0,10.0,0.0,0.14,29.0,390.0,500.0,2014,5.0,300.0,43.0,44.0,72.0,0.8
Daman,Warkhund,8.01,1460.0,340.0,14.0,0.0,0.7,79.0,415.0,978.0,2014,14.0,490.0,262.0,116.0,64.0,8.0
Diu,Diu,7.9,1208.0,400.0,7.0,0.0,0.7,19.0,488.0,809.0,2014,13.0,180.0,135.0,199.0,40.0,34.2
Diu,Gomtimata,7.8,4065.0,470.0,158.0,0.0,0.7,122.0,573.0,2724.0,2014,135.0,700.0,880.0,599.0,80.0,44.8
Diu,Jolawadi,7.4,11700.0,200.0,719.0,0.0,0.15,450.0,244.0,7839.0,2014,33.0,3250.0,3728.0,1404.0,560.0,43.8
Gandhinagar,Paliya,7.8,1906.0,540.0,142.0,0.0,1.1,115.0,659.0,1277.0,2014,100.0,620.0,227.0,219.0,56.0,0.0
