pH,EC,TDS,Alk,TH,F,Cl,NO3,SO4,Ca,Mg,qi_wi,WQI,WQI_CLASSIF
38.66666666666667,169.0,34.0,133.33333333333334,53.333333333333336,19.333333333333332,20.0,40.0,10.4,42.666666666666664,63.333333333333336,0.009670008238589555,26.236378267219028,Good
57.33333333333335,241.66666666666666,48.6,233.33333333333334,30.0,46.0,22.8,28.88888888888889,11.2,21.333333333333332,40.0,0.017943746971555513,48.68443970898447,Good
79.99999999999996,193.33333333333334,38.9,150.0,66.66666666666667,14.666666666666666,28.4,19.555555555555557,12.8,48.0,90.0,0.010749780273765278,29.16598358484255,Good
55.333333333333336,277.6666666666667,55.8,200.0,110.0,12.0,48.4,48.888888888888886,12.0,80.0,146.66666666666666,0.010423558033235079,28.280887120542285,Good
75.33333333333339,3114.3333333333335,626.0,550.8333333333334,240.33333333333334,56.0,1020.8,491.1111111111111,224.0,53.333333333333336,503.3333333333333,0.04032615443998951,109.41172084297813,Unsuitable
66.00000000000001,562.3333333333334,113.0,200.0,163.33333333333334,19.333333333333332,138.8,300.0,25.6,128.0,203.33333333333334,0.01708439556214643,46.35287306649182,Good
79.3333333333333,225.33333333333334,45.3,233.33333333333334,90.0,20.666666666666668,14.0,35.55555555555556,12.0,80.0,96.66666666666667,0.013165957568212469,35.7214838381731,Good
19.99999999999999,366.0,73.6,333.3333333333333,150.0,16.666666666666668,22.8,200.0,20.4,138.66666666666666,153.33333333333334,0.012442300214203329,33.75807826423866,Good
79.99999999999996,691.0,138.9,308.3333333333333,130.0,55.333333333333336,156.0,188.88888888888889,44.8,64.0,220.0,0.027282799259137208,74.0228781496604,Poor
92.00000000000006,893.3333333333334,179.6,266.6666666666667,150.0,66.66666666666667,269.6,19.77777777777778,10.8,176.0,96.66666666666667,0.028688054167200654,77.83557390132361,Very Poor
76.66666666666669,1124.6666666666667,226.1,375.0,106.66666666666667,40.666666666666664,258.0,333.3333333333333,70.8,53.333333333333336,180.0,0.02479831172992073,67.28204060243,Poor
79.99999999999996,2918.3333333333335,586.6,175.0,300.3333333333333,18.0,1026.8,253.33333333333334,190.8,85.33333333333333,599.8933333333333,0.027655394445359846,75.03379230868576,Very Poor
95.33333333333331,1037.3333333333333,208.5,516.6666666666666,150.0,57.333333333333336,232.4,102.22222222222223,61.6,42.666666666666664,300.0,0.030221107419002458,81.9950083118913,Very Poor
