"SN","Well D","District","Taluka","Location","Type","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K","SAR","Arsenic",""
"173","W222100070023001","Jamnagar","JAMNAGAR","Changa","DCB","8,06","1047","701","0","305","191","10","16","0.20","250","64","10","200","160","2,0","4.92","",""
"174","W223130070121501","Jamnagar","JAMNAGAR","Jambuda","Dug Well","7.98","1448","970","0","366","234","42","125","0,60","300","60","55","380","193","0.2","4.30","",""
"175","W222730070044501","Jamnagar","JAMNAGAR","Jamnagar2","Dug Well","7.95","1147","768","0","342","170","11","90","0.40","280","48","36","270","164","0.4","4.34","",""
"176","W222500070110001","Jamnagar","JAMNAGAR","Vijarkha","Dug Well","8.14","763","511","0","256","78","12","63","0,64","210","36","12","140","119","0,5","4.37","1",""
"177","W224945070334501","Jamnagar","JODIYA","Amran1","Dug Well","8.28","911","610","0","427","99","4","48","0,68","350","44","26","220","150","3.5","4.40","1",""
"178","W224100070190001","Jamnagar","JODIYA","Bedanpur","Dug Well","7.88","3927","2631","0","195","1028","102","324","0,54","160","320","216","1700","161","1.2","1.70","",""
"179","W224730070301501","Jamnagar","JODIYA","Dudhai2","Dug Well","8.34","925","620","72","110","135","2","60","0.46","210","28","29","190","128","1.6","4,04","1",""
"180","W221615070200001","Jamnagar","KALAVAD","Haripur2","DCB","8.33","768","515","108","24","71","56","73","0.65","200","48","31","250","80","1.5","2.20","1",""
"181","W221300070230001","Jamnagar","KALAVAD","Kalawad","Dug Well","7.95","1680","1126","0","378","227","87","126","0.34","310","104","65","530","141","5.8","2,66","1",""
"182","W221900070155001","Jamnagar","KALAVAD","Moti matli","Dug Well","8.23","372","249","0","171","35","4","3","0.30","140","24","12","110","40","2.8","1,66","",""
"183","W221130070320001","Jamnagar","KALAVAD","Nikava","Dug Well","7.86","1229","823","0","476","163","7","8","0.47","390","60","38","310","151","10.5","3.73","2",""
"184","W220345070230001","Jamnagar","KALAVAD","Toda","Dug Well","8.25","972","651","0","207","127","90","74","0,29","170","68","31","310","88","3.3","2.17","",""
"185","W215930069144501","Jamnagar","KALYANPUR","Bhogat","Dug Well","8.24","1943","1302","0","207","468","21","45","2.20","170","108","41","440","215","6.7","4.46","",""
"186","W221015069220001","Jamnagar","KALYANPUR","Juvanpur","Dug Well","8,05","761","510","0","281","78","41","21","0.20","230","68","22","260","63","0.2","1.70","1",""
"187","W220100069240001","Jamnagar","KALYANPUR","Kalyanpur1","Dug Well","8.28","4607","3087","0","476","1205","72","28","2.98","390","180","192","1250","440","3,9","5.41","1",""
"188","W220100069233001","Jamnagar","KALYANPUR","Kalyanpur2","Dug Well","7.92","1304","874","0","256","234","41","48","0.40","210","48","31","250","174","1.1","4.78","",""
"189","W215845069360001","Jamnagar","KALYANPUR","Khirsara","Dug Well","8.07","2835","1899","0","427","460","190","325","0.10","350","220","144","1130","170","4.8","2,20","2",""
"190","W221450069153001","Jamnagar","KALYANPUR","Pindara","Dug Well","8.08","1679","1125","0","220","284","2","233","0,65","180","108","50","480","162","10.8","3.21","",""
"191","W215935069144501","Jamnagar","KALYANPUR","Raval","Dug Well","7.92","2170","1454","0","207","539","27","47","0.20","170","144","53","580","198","0,4","3,57","1",""
"192","W222000069423001","Jamnagar","KHAMBHALIA","Kajuda","Dug Well","7,69","5511","3692","0","220","1489","100","476","0,16","180","280","420","2450","200","0,5","1.76","",""
"193","W221205069350001","Jamnagar","KHAMBHALIA","Kuvadia","Dug Well","8.23","1133","759","0","439","135","31","20","0.19","360","96","29","360","110","1.7","2,52","2",""
"194","W221820069361501","Jamnagar","KHAMBHALIA","Salaya","Dug Well","8.26","1869","1252","0","622","213","75","48","0.20","510","48","26","230","320","31.6","9.17","4",""
"195","W221230069300001","Jamnagar","KHAMBHALIA","Vadtara","Dug Well","8.15","2926","1960","0","317","628","120","338","0.20","260","120","156","950","302","4.2","4.26","",""
"196","W221130069574001","Jamnagar","LALPUR","Lalpur1","Dug Well","8.19","1653","1108","0","402","227","48","178","0,44","330","116","48","490","179","0.7","3.52","3",""
"197","W222600069023001","Jamnagar","OKHAMANDAL","Aramda","Dug Well","8.55","2710","1816","108","378","496","13","42","2.16","490","100","84","600","303","45.4","5.38","1",""
"198","W221445068573001","Jamnagar","OKHAMANDAL","Dwarka","Dug Well","8.11","1871","1254","0","293","376","75","22","0.40","240","72","38","340","240","30.0","5,66","",""
"199","W222200068590001","Jamnagar","OKHAMANDAL","Mojap","Dug Well","8.43","6392","4283","204","24","1702","4","262","1.80","360","200","132","1050","930","103.0","12.48","5",""
"200","W222230069061501","Jamnagar","OKHAMANDAL","Samrasar","Dug Well","8.21","10420","6981","0","464","3191","3","111","3.00","380","320","288","2000","1410","35.5","13.71","5",""
"201","W221730068580001","Jamnagar","OKHAMANDAL","Varwada","DCB","7.83","8956","6001","0","158","2801","46","268","1.10","130","380","240","1950","1150","24.3","11.32","",""
"202","W221425069073101","Jamnagar","OKHAMANDAL","Amaliya Chokri","Dug Well","8,54","3510","2352","168","207","780","6","137","3.00","450","100","180","1000","331","18.0","4.55","4",""
"203","W215356069192501","Jamnagar","OKHAMANDAL","Lambha 1","Dug Well","8,06","4013","2689","0","244","1134","78","194","0.75","200","240","96","1000","500","2.5","6.87","",""
"204","","Jamnagar","OKHAMANDAL","Manpur","Dug Well","7.95","1258","843","0","171","248","46","76","0.13","140","100","53","470","65","0.1","1.30","",""
"205","W213630070340001","Junagadh","BHESAN","Patla","Dug Well","7.48","1398","937","0","354","220","60","77","0.73","290","52","66","400","154","1.0","3.35","1",""
"206","W212620070360001","Junagadh","JUNAGADH","Bilkha","Dug Well","8.08","1085","727","0","427","128","14","14","0,60","350","84","54","430","60","2.2","1,26","1",""
"207","W213100070273001","Junagadh","JUNAGADH","Junagadh1","Dug Well","7.97","923","618","0","281","121","44","17","0,38","230","68","29","290","77","1.5","1.97","1",""
"208","W211600070123001","Junagadh","KESHOD","Kewarda","Dug Well","8.08","959","643","0","464","43","42","49","1.26","380","100","36","400","60","11.2","1.30","",""
"209","W204800070413002","Junagadh","KODINAR","Kodinar1","Dug Well","8.26","995","667","0","281","163","11","47","0.45","230","52","53","350","79","6,6","1,84","",""
"210","W210545070130001","Junagadh","MALIA","Budhecha","Dug Well","7.82","1508","1010","0","293","291","48","51","1.20","240","68","46","360","180","2.0","4.12","",""
"211","W210230070130001","Junagadh","MALIA","Chorwad","Dug Well","7.53","10600","7102","0","146","3337","30","494","0,26","120","840","182","2850","1185","4.4","9,65","",""
"212","W210850070163001","Junagadh","MALIA","Galodar","Dug Well","7.95","909","609","0","366","99","32","6","0.34","300","64","46","350","57","0.2","1.32","",""
"213","W211000070160001","Junagadh","MALIA","Juthal","Dug Well","8.14","418","280","0","195","35","19","20","0.30","160","48","17","190","26","2.8","0.82","1",""
"214","W210150070143001","Junagadh","MALIA","Kanek","Dug Well","7.73","7575","5075","0","305","2308","21","234","0.38","250","760","158","2550","579","40.8","4.99","",""
"215","W210240070113001","Junagadh","MALIA","Khambalia","Dug Well","7.43","7383","4947","0","146","2308","24","253","0.26","120","660","170","2350","621","4.5","5.57","",""
"216","W210315070123001","Junagadh","MALIA","Kukaswada","Dug Well","7.81","3779","2532","0","281","937","35","259","0.30","230","224","10","600","583","19.5","10,35","",""
"217","W212915070050001","Junagadh","MANAVADAR","Bantva","Dug Well","7,67","6235","4177","0","232","1747","2","402","0.30","190","296","215","1620","684","5.2","7.39","1",""
"218","W211410070002501","Junagadh","MANGROL","Antroli","Dug Well","7.77","10850","7270","0","146","3479","45","386","0.05","120","660","280","2800","1255","20.7","10.31","",""
"219","W210450070103501","Junagadh","MANGROL","Arena","Dug Well","7.54","8557","5733","0","134","2592","52","416","0.38","110","440","292","2300","915","45.7","8.30","",""
"220","W211315070032001","Junagadh","MANGROL","Bamanwara","Dug Well","7.50","8187","5485","0","171","2592","90","303","0.50","140","920","219","3200","475","4.7","3,65","2",""
"221","W211100070091502","Junagadh","MANGROL","Goraj","Dug Well","8.28","975","653","0","366","99","44","22","1.36","300","54","32","260","112","1.9","3.02","",""
"222","W211455070033001","Junagadh","MANGROL","Kalej","Dug Well","7.84","6784","4545","0","207","2059","130","181","0,69","170","780","121","2450","440","9.3","3.86","",""
"223","W210350070102501","Junagadh","MANGROL","Khorada1","Dug Well","7.80","5235","3507","0","378","1420","25","202","0.30","310","200","121","1000","722","39.7","9.93","1",""
"224","W211000070040001","Junagadh","MANGROL","Lohej","Dug Well","8.00","7419","4971","0","329","2201","21","299","0,62","270","440","158","1750","917","31.7","9.53","2",""
"225","W210835070054501","Junagadh","MANGROL","Maktupur1","Dug Well","7.61","10770","7216","0","146","3408","24","607","0.40","120","560","33","2550","1422","13.0","12.24","1",""
"226","W210750070071001","Junagadh","MANGROL","Mangrol1","Dug Well","8,03","1619","1085","0","354","312","50","48","0,81","290","92","24","330","199","47.8","4.76","5",""
"227","W210900070074501","Junagadh","MANGROL","Manketara","Dug Well","8.10","1040","697","0","244","149","40","54","0,96","200","64","29","280","103","2.2","2.68","",""
"228","W210700070131001","Junagadh","MANGROL","Sepa","Dug Well","7.99","998","669","0","232","142","55","69","0,85","190","68","36","320","88","18.1","2.14","",""
"229","W210800070145501","Junagadh","MANGROL","Seriakhan","Dug Well","7.77","1645","1102","0","232","312","110","85","0.53","190","120","47","480","154","0,5","3.06","",""
"230","W210615070091001","Junagadh","MANGROL","Shardagram","Dug Well","7.58","10330","6921","0","183","3195","17","613","0.50","150","480","158","1850","1618","10.9","16.36","2",""
"231","W211108070024701","Junagadh","MANGROL","Sil","Dug Well","7.71","5491","3679","0","220","1598","41","173","0.70","180","260","122","1150","703","30.1","9.01","",""
"232","W211325070032001","Junagadh","MANGROL","Sil bandar","Dug Well","8.28","3580","2399","0","732","817","42","118","0.59","600","180","61","700","503","94.0","8.27","7",""
"233","W211930070260001","Junagadh","MENDARDA","Mendarda1","Dug Well","8.27","666","446","0","366","43","8","28","0,64","300","40","46","290","50","0.1","1.28","1",""
"234","W210145070363001","Junagadh","TALALA","Jambur[madhapa","Dug Well","8.02","893","598","0","256","85","13","129","0,32","210","68","53","390","40","1.1","0.88","2",""
"235","W210305070313001","Junagadh","TALALA","Talala1","Dug Well","7.94","501","336","0","207","57","10","5","0.10","170","60","7","180","39","3.4","1.26","1",""
"236","W205730071041501","Junagadh","UNA","Dhokadva","Dug Well","8.28","580","389","0","293","35","9","45","0,30","240","52","36","280","30","1.4","0.78","3",""
"237","W204510070551001","Junagadh","UNA","Girgadhada","Dug Well","8.01","911","610","0","232","106","75","107","0.38","190","96","44","410","48","0.8","1.03","2",""
"238","W205900070454501","Junagadh","UNA","Jamvala1","Dug Well","8.00","558","374","0","220","43","12","85","0.36","180","64","29","280","28","0.2","0.73","",""
"239","W205115071071501","Junagadh","UNA","Sametar","Dug Well","8.33","856","574","48","134","121","17","81","0,17","190","52","50","340","56","2.0","1.32","1",""
"240","W204930071023001","Junagadh","UNA","Una2","Dug Well","8.39","1936","1297","108","171","333","72","111","1.30","320","64","60","410","259","4.0","5.56","3",""
"241","W212515070190001","Junagadh","VANTHALI","Khokharda","Dug Well","7.97","1500","1005","0","329","263","55","70","0.48","270","96","41","410","163","1.7","3.50","",""
"242","W212215070202001","Junagadh","VANTHALI","Khoras ahir","Dug Well","8.21","2694","1805","0","500","511","90","153","0,90","410","120","73","600","356","2.2","6.32","",""
"243","W205320070281502","Junagadh","VERAVAL","Ajotha","Dug Well","8.27","1431","959","0","207","312","37","97","0.74","170","112","62","540","96","2.7","1.80","",""
"244","W205900070261001","Junagadh","VERAVAL","Moraj","Dug Well","8.13","760","509","0","207","99","10","105","1.04","170","68","22","260","79","0.5","2.13","",""
"245","W212130070444501","Junagadh","VISAVADAR","Mandawad","Dug Well","8.25","918","615","0","146","170","22","94","0.15","120","68","24","270","96","0,9","2,54","",""
"246","W211800070420001","Junagadh","VISAVADAR","Prempara","Dug Well","8.65","1062","712","84","110","99","41","112","0.58","230","92","50","440","38","6.5","0.79","2",""
"247","W210032070433301","Junagadh","Talala","Amervel Nes","Dug Well","8.36","647","433","72","12","42","32","127","0.33","130","68","34","310","18","1.0","0.44","",""
"248","W205839070363301","Junagadh","Talala","Bhim Deval","Dug Well","7.97","1163","779","0","207","148","57","179","0.80","170","92","46","420","90","2.1","1.91","7",""
"249","W205251070590301","Junagadh","Una","Jargla Jargali","Dug Well","8.28","490","328","0","232","35","10","6","0.34","190","48","17","190","30","0,9","0.95","1",""
"250","W205212071030401","Junagadh","Una","Kansari","Dug Well","8.20","575","385","0","146","64","37","51","0.60","120","40","31","230","30","5.3","0,86","3",""
"251","W205103070400901","Junagadh","Kodinar","Prasli","Dug Well","8.09","1313","880","0","256","191","75","51","1.10","210","64","48","360","110","62.0","2.52","2",""
"252","W212437070310501","Junagadh","JUNAGADH","Anandpur","Dug Well","7.62","426","285","0","159","57","14","4","0,50","130","48","12","170","27","1.6","0.90","1",""
"253","W213607070323001","Junagadh","JUNAGADH","Chokli","Dug Well","8.11","647","433","0","305","64","7","3","0.39","250","56","22","230","56","0.0","1,61","1",""
"254","W211613070405001","Junagadh","Vasavadar","Kasia Naka","Dug Well","8.36","502","336","60","85","43","9","8","0.20","170","64","5","180","31","0.3","1.00","",""
"255","W211620070284701","Junagadh","MENDARDA","Kanedipur","Dug Well","8.05","635","425","0","317","50","2","4","0.39","260","56","29","260","36","0.6","0.97","1",""
"256","W213519070021501","Junagadh","VANTHALI","Saradiya","Dug Well","8.00","2375","1591","0","268","554","18","134","0.20","220","128","68","600","260","1.6","4.61","",""
"257","W213632070300801","Junagadh","JUNAGADH","Vadal","Dug Well","8.21","1290","864","0","476","185","37","47","0.83","390","88","73","520","99","6.4","1.89","1",""
"258","W230230069043001","Kachchh","ABDASA","Kotaya","Dug Well","8.41","1401","939","60","146","198","22","213","1,07","220","48","46","310","200","1.4","4.94","",""
"259","W230943068544301","Kachchh","ABDASA","Kothara","Dug Well","8.50","3072","2058","84","476","744","2","38","2.68","530","100","120","750","410","3.3","6.51","7",""
"260","W231600068500001","Kachchh","ABDASA","Naliya1","Dug Well","8.72","1696","1136","96","366","213","13","137","0.74","460","24","29","180","340","5.0","11.02","3",""
"261","W231700068565001","Kachchh","ABDASA","Tera","Dug Well","9.00","2984","1999","96","305","780","42","47","1.50","410","120","168","1000","281","6.8","3.86","",""
"262","W230600069013001","Kachchh","ABDASA","Vinjhan1","Dug Well","7.75","15920","10666","0","305","5141","2","363","0.85","250","520","564","3650","1990","31.0","14.32","",""
"263","W232715070210001","Kachchh","BHACHAU","Kharoi","Dug Well","8.12","1348","903","0","268","278","2","1","0.00","220","80","60","450","78","6.0","1.60","4",""
"264","W235145070213002","Kachchh","BHACHAU","Rathanpurkhadin","Dug Well","8.28","4032","2701","0","256","1099","48","205","0.15","210","260","232","1200","383","17.0","4.81","",""
"265","W231800070303001","Kachchh","BHACHAU","Samkhiari","Dug Well","8.09","4967","3328","0","439","1134","110","446","1.27","360","200","228","1450","500","16.0","5.71","4",""
"266","W231500069400002","Kachchh","BHUJ","Bhuj1","Dug Well","8.25","913","612","0","244","92","6","96","0.08","200","72","31","310","58","13.3","1.43","1",""
"267","W232130069520001","Kachchh","BHUJ","Haboi","Dug Well","8.10","1446","969","0","268","227","8","169","0.85","220","76","50","400","151","10.7","3.28","",""
"268","W235020069435001","Kachchh","BHUJ","Khavada","Dug Well","7.76","11940","8000","0","281","2836","12","1662","0.30","230","620","312","2850","1460","42.0","11.89","3",""
"269","W232400069533001","Kachchh","BHUJ","Lodai","DCB","7.96","4188","2806","0","207","886","8","689","1.32","170","260","324","1500","305","2.6","3.42","",""
"270","W230825069382001","Kachchh","BHUJ","Sedat","Dug Well","8,39","722","484","60","195","28","0","86","0,00","260","60","36","300","41","3.2","1.03","",""
"271","W231230069370001","Kachchh","BHUJ","Sukhpar","Dug Well","7.74","9244","6193","0","244","2730","60","505","1.35","200","480","240","2200","1140","5.8","10.57","",""
"272","W230500070083002","Kachchh","GANDHIDHAM","Gandhidham1","Dug Well","8.13","1614","1081","0","488","227","44","36","0,85","400","116","46","480","147","23.0","2.92","2",""
"273","W230200070031501","Kachchh","GANDHIDHAM","Shinaya","Dug Well","8.12","5067","3395","0","378","1347","2","320","0.30","310","260","108","1100","676","7.7","8.86","1",""
"274","W233200068570001","Kachchh","LAKHPAT","Mata no madh","Dug Well","8.12","1366","915","0","158","291","0","172","0.00","130","80","34","340","177","8.2","4.17","1",""
"275","W234530068403001","Kachchh","LAKHPAT","Moti cher","Dug Well","7.92","3810","2553","0","134","1064","0","299","0.00","110","260","216","1550","180","27.8","1.99","5",""
"276","W230300069300001","Kachchh","MANDVI","Dunai","Dug Well","8.29","1035","693","0","488","113","4","40","0.38","400","72","38","340","123","2.7","2.90","",""
"277","W230230069113001","Kachchh","MANDVI","Kotadi","Dug Well","8.49","2634","1765","84","268","567","50","196","1.20","360","140","84","700","330","6.4","5.42","1",""
"278","W225030069203001","Kachchh","MANDVI","Mandvi1","Dug Well","8.40","968","649","60","98","121","4","139","0.30","180","40","36","250","116","5.2","3.19","",""
"279","W225000069200002","Kachchh","MANDVI","Mandvi-3","Dug Well","8.29","547","366","0","281","28","30","28","0.00","230","72","12","230","43","15.1","1.23","5",""
"280","W225400069540001","Kachchh","MUNDRA","Bhadreshwar","Dug Well","8.28","1068","716","0","317","191","0","30","0.00","260","96","36","390","80","12.3","1.76","",""
"281","W225630069394501","Kachchh","MUNDRA","Karagoga","Dug Well","8.42","4851","3250","108","561","886","4","631","1.15","640","120","96","700","860","3.4","14.13","",""
"282","W232700069240001","Kachchh","NAKHATRANA","Chandranagar","Dug Well","8.28","2442","1636","0","415","461","5","288","0.62","340","200","180","1000","140","19.7","1.92","",""
"283","W232410069194501","Kachchh","NAKHATRANA","Devisar","Dug Well","7.96","5700","3819","0","378","1418","4","461","1.00","310","200","204","1350","677","19.7","8.01","",""
"284","W232200069120001","Kachchh","NAKHATRANA","Kotda jadvapur","Dug Well","8.26","3264","2187","0","403","674","12","360","0.30","330","180","168","1150","243","6.3","3.12","1",""
"285","W234450070404501","Kachchh","RAPAR","Deshalpur rapar","Dug Well","8.04","7235","4847","0","427","1985","10","396","0.00","350","360","180","1650","900","56.0","9.63","1",""
"286","W232500070480001","Kachchh","RAPAR","Gagodar","Dug Well","8.43","397","266","72","98","21","3","5","0.08","200","32","14","140","50","2.5","1.84","1",""
"287","W235240070483101","Kachchh","RAPAR","Kuda","Dug Well","8.24","1137","762","0","451","106","41","22","1.17","370","132","19","410","61","32.0","1.31","22",""
"288","W233040070390001","Kachchh","RAPAR","Lilpur","Dug Well","7.98","9219","6177","0","220","2482","100","716","0.77","180","64","312","2900","761","31.0","6.14","1",""
"289","W233400070381502","Kachchh","RAPAR","Rapar2","Dug Well","8.29","374","251","0","159","35","2","34","0.10","130","36","14","150","31","4.6","1.10","",""
"290","W225620069045801","Kachchh","MANDVI","Bambhdai","Dug Well","8.04","6384","4277","0","281","1985","0","165","0.60","230","280","192","1500","800","5.9","8.98","",""
"291","W225224069484201","Kachchh","Mundra","Luni","Dug Well","8.25","2718","1821","0","146","674","11","250","0.00","120","180","108","700","300","10.4","4.93","",""
"292","W232747069081701","Kachchh","NAKHATRANA","Ugardi","Dug Well","7.71","8875","5946","0","317","2375","48","670","0.62","260","320","288","2000","1100","7.3","10.69","1",""
"293","W225458069512001","Kachchh","MUNDRA","Vadala","Dug Well","7.98","4163","2789","0","415","1063","18","224","0.70","340","200","132","1050","487","4.2","6.53","",""
"294","W225700073193001","Kheda","BALASINOR","Balasinor1","Dug Well","8.24","714","478","0","183","107","24","20","0.56","150","8","54","240","48","0.5","1.35","",""
"295","W230500073214501","Kheda","BALASINOR","Juna vasadra","Dug Well","8.27","913","612","0","378","71","42","15","0.66","310","72","36","330","61","2.1","1.46","6",""
"296","W230015073053001","Kheda","KAPADVANJ","Kapadvanj","Dug Well","8.10","3787","2537","0","464","838","39","219","2.50","380","88","19","300","710","16.8","17.82","3",""
"297","W225430073071501","Kheda","KATHLAL","Ladvel","Dug Well","8.05","2625","1759","0","427","497","175","96","0.90","350","96","36","640","305","9.5","5.24","4",""
"298","W224830073033001","Kheda","MAHUDHA","Alina","Dug Well","7.41","8060","5400","0","293","2286","4","512","0.60","240","216","170","1240","1290","20.7","15.93","",""
"299","W224700072563001","Kheda","MAHUDHA","Mahudha","Dug Well","8.60","1582","1060","60","573","192","31","29","1.30","570","20","17","120","360","2.2","14.29","",""
"300","W223430072373001","Kheda","MATAR","Shekhupura","Dug Well","8.26","2248","1506","0","549","398","105","30","0.80","450","64","88","520","252","54.4","4.80","2",""
"301","W224100072530001","Kheda","NADIAD","Nadiad2","Dug Well","8.70","4207","2819","132","451","852","14","200","0.20","590","24","112","520","440","446.0","8.39","6",""
"302","W224545073101001","Kheda","THASRA","Dakor","Dug Well","8.50","1273","853","120","476","128","28","15","1.10","590","40","58","340","218","1.1","5.14","1",""
"303","W224315073113001","Kheda","THASRA","Kalesar","Dug Well","8.50","1759","1179","156","610","149","22","19","0.95","760","52","54","350","305","13.8","7.09","2",""
"304","W231005073244001","Kheda","VIRPUR","Bar","Dug Well","8.27","2916","1954","0","854","426","21","120","0.90","700","248","15","680","205","280.0","3.42","4",""
"305","W224203072583601","Kheda","NADIAD","Alindra","Dug Well","8.28","1327","889","0","549","149","8","12","0.10","450","84","41","380","139","28.3","3.10","8",""
"306","W223808072543301","Kheda","NADIAD","Boriyavi","Dug Well","8.58","859","576","72","366","57","0","19","0.77","420","32","92","430","43","1.0","0.90","4",""
"307","W224659073103601","Kheda","Tharsa","Muliyad","Dug Well","8.50","1064","713","72","512","64","13","6","1.30","540","32","44","260","180","0.8","4.85","2",""
"308","W233030072110001","Mehsana","BECHARAJI","Asjol","Dug Well","8.23","385","258","0","207","21","26","6","0.15","170","56","5","160","25","9.8","0,86","",""
"309","W233245072064501","Mehsana","BECHARAJI","Dharpura","Dug Well","8.28","1296","868","0","622","99","12","18","0.95","510","44","29","230","175","48.9","5.02","26",""
"310","W231715072223001","Mehsana","KADI","Budasan","Dug Well","8.09","1079","723","0","366","149","22","10","0.75","300","96","17","310","92","26.8","2.27","3",""
"311","W231450072180001","Mehsana","KADI","Vidaj","DCB","8.28","1922","1288","0","622","263","27","40","0.25","510","64","19","240","233","164.8","6.54","16",""
"312","W235315072364501","Mehsana","KHERALU","Kheralu1","Dug Well","8.07","374","251","0","171","43","2","6","0.40","140","40","15","160","23","3.4","0.79","",""
"313","W235330072310001","Mehsana","KHERALU","Rampura1","Dug Well","8.64","986","661","36","488","64","9","7","0.60","460","44","22","200","169","2.2","5.20","",""
"314","W235045072430001","Mehsana","KHERALU","Unad","Dug Well","8.09","8190","5487","0","1598","1527","45","411","1.80","1310","100","219","1150","1293","19.9","16.58","8",""
"315","W233440072172001","Mehsana","MAHESANA","Maguna","Dug Well","7.97","3431","2299","0","976","611","43","36","0.55","800","120","209","1160","270","29.3","3.45","2",""
"316","W233745072203001","Mehsana","MAHESANA","Panchot","Dug Well","8.27","2478","1660","0","549","497","8","20","0.45","450","80","49","400","315","77.8","6.85","1",""
"317","W235030072270001","Mehsana","UNJHA","Dosaj","Dug Well","8.03","2302","1542","0","366","454","31","191","1.90","300","56","34","280","413","16.2","10.73","2",""
"318","W234800072210001","Mehsana","UNJHA","Sihi","Dug Well","8.18","908","608","0","329","92","44","15","0.45","270","36","24","240","66","54.9","1.85","",""
"319","W234600072214501","Mehsana","UNJHA","Unawa","Dug Well","8.23","4305","2884","0","915","781","16","277","0.65","750","120","117","780","591","75.5","9.20","",""
"320","W234330072230001","Mehsana","VISNAGAR","Bhandupara","Dug Well","8.26","2330","1561","0","451","483","6","49","0.85","370","56","44","320","367","18.5","8.92","",""
"321","W234530072273001","Mehsana","VISNAGAR","Tarabh","Dug Well","8.27","488","327","0","244","43","0","4","0.25","200","56","12","190","31","6.9","0.98","",""
"322","W234752072234001","Mehsana","UNJHA","Unjha","Dug Well","8.02","3179","2130","0","634","497","185","172","0.95","520","56","88","500","440","78.9","8.56","",""
"323","W213115073384502","Narmada","DEDIAPADA","Kanbi pitha","Dug Well","7.97","610","409","0","293","35","16","13","0.33","240","60","31","280","17","0.2","0.44","1",""
"324","W215330073390001","Narmada","NANDOD","Garudeshwar","Dug Well","8.20","1000","670","0","451","57","58","34","0.77","370","96","43","420","53","1.9","1.12","3",""
"325","W215205073360001","Narmada","NANDOD","Hirapura","Dug Well","8.04","713","478","0","378","25","3","23","0.76","310","84","17","280","43","1.0","1.12","2",""
"326","W214400073283001","Narmada","NANDOD","Khota amba","Dug Well","8.09","639","428","0","342","21","5","19","0.56","280","48","41","290","21","0.4","0.54","1",""
"327","W215530073293001","Narmada","NANDOD","Rasela","Dug Well","8.25","494","331","0","256","21","3","12","0.53","210","56","14","200","26","0.0","0.80","",""
"328","W215030073280001","Narmada","NANDOD","Ringani","Dug Well","8.09","560","375","0","293","21","0","70","0.71","240","44","48","310","16","10.0","0.40","",""
"329","W215050073321001","Narmada","NANDOD","Sunderpura","Dug Well","8.23","631","423","0","293","21","15","92","0.41","240","60","46","340","18","0.8","0.42","6",""
"330","W213630073453002","Narmada","SAGBARA","Selemba","Dug Well","7.98","765","513","0","268","57","52","86","0.50","220","88","38","380","25","0.4","0,56","",""
"331","W220240073372001","Narmada","TILAKWADA","Namaria","Dug Well","7.55","4522","3030","0","512","886","230","453","1.08","420","200","408","1750","274","1.2","2.85","3",""
"332","W212932073354901","Narmada","Dediapada","Jankh","Dug Well","8.10","626","419","0","293","35","6","41","0.52","240","64","34","300","18","0.2","0.45","",""
"333","W213050073311001","Narmada","Dediapada","Khaidipada","Dug Well","8.17","500","335","0","220","28","10","38","0.30","180","48","29","240","13","0.1","0.36","1",""
"334","W213636073390901","Narmada","Dediapada","Ralda","Dug Well","7.88","1457","976","0","451","220","27","29","0,34","370","60","55","380","164","1.6","3.66","",""
"335","W204330073090001","Navsari","CHIKHLI","Kaliyari","Dug Well","7.86","844","565","0","366","64","17","23","0,65","300","20","54","270","74","0.3","1.96","",""
"336","W203800073054501","Navsari","CHIKHLI","Khergam","Dug Well","7.95","764","512","0","366","57","3","17","0,30","300","60","17","220","84","0.2","2.46","",""
"337","W204715072571501","Navsari","GANDEVI","Sari_khurd","Dug Well","7.75","2021","1354","0","390","447","3","49","0.20","320","44","90","480","245","21.7","4.86","1",""
"338","W205930072531001","Navsari","JALALPORE","Chinam","Dug Well","7.88","2888","1935","0","891","440","11","126","0.40","730","32","54","300","552","4,9","13.86","2",""
"339","W205330072483001","Navsari","JALALPORE","Dandi","Dug Well","7.92","1315","881","0","586","114","6","29","0.35","480","16","44","220","211","4.6","6.19","1",""
"340","W205658072563001","Navsari","NAVSARI","Navsari1","Dug Well","7.93","6322","4236","0","317","2095","5","172","0.40","260","260","231","1600","845","4.9","9.18","1",""
"341","W204952073200401","Navsari","VANSDA","Chandav","Dug Well","7.98","1062","712","0","427","121","7","18","0.75","350","76","41","360","87","1.2","1,99","",""
"342","W204943073032701","Navsari","GANDEVI","Duvada","Dug Well","7.91","1077","722","0","488","78","3","95","0.90","400","28","49","270","159","0.7","4.21","",""
"343","W204027073140001","Navsari","CHIKHLI","Manav Khadak","Dug Well","7.85","714","478","0","378","28","0","17","0.70","310","40","24","200","78","0.5","2.40","2",""
"344","W204818073160001","Navsari","VANSDA","Moti Valzar","Dug Well","7.78","700","469","0","354","36","6","16","0,65","290","40","27","210","71","0.4","2.13","1",""
"345","W203857073100101","Navsari","CHIKHLI","Panikhadak","Dug Well","7.95","882","591","0","317","99","3","33","0.35","260","60","36","300","64","1.5","1.61","1",""
