"SN","District","Location","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K","Fe","SAR"
"628","Valsad","Lakadmal","8.21","350","235","0","159","42","4","1","0.23","130","52","12","180","7","0.7","0.00","0.23"
"629","Valsad","Kaparda","7.61","200","134","0","85","28","3","25","0.05","70","28","10","110","13","5.4","","0.54"
"630","Valsad","Nanaponda","7.77","1100","737","0","256","170","5","47","0.48","210","116","26","400","49","1.1","","1.07"
"631","Valsad","Karwad","8.02","770","516","0","366","71","3","15","0.30","300","96","19","320","46","14.0","","1.12"
"632","Valsad","Udwada","7.81","869","582","0","323","85","5","54","0.33","265","96","38","400","22","0,6","","0.48"
"633","Valsad","Dahli (bhilad)","7.63","810","543","0","317","28","13","101","0,05","260","72","34","320","44","0.4","","1.07"
"634","Valsad","Kanadu","7.77","386","259","0","183","21","2","26","0.50","150","44","17","180","14","0.4","","0.45"
"635","Valsad","Tumb","7.92","660","442","0","293","78","2","8","1.05","240","40","34","240","57","0.5","","1.60"
"636","Valsad","Muli1","7.92","1607","1077","0","403","333","1","21","0.38","330","60","43","330","230","13.0","","5.50"
"637","Valsad","Tithal","7.66","1850","1240","0","671","232","10","41","0.15","550","116","62","550","176","5.6","","3.26"
"638","Valsad","Chavshala","7.52","400","268","0","159","35","8","14","0.10","130","60","7","180","10","8.2","0.00","0.32"
"639","Valsad","Fali","7.75","490","328","0","195","35","10","30","0.23","160","68","2","180","32","3.6","0.25","1.04"
"640","Valsad","umargaon","7.82","700","469","0","293","78","15","34","0.23","240","52","36","280","55","6.1","","1.43"
"641","Valsad","Vapi","7.62","984","659","0","317","128","17","3","0.15","260","76","46","380","37","0.8","","0.83"
