District,Location,pH,EC,TDS,CO3,HCO3,CI,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,Fe,SAR
Dahod,Mirakhedi,8.1,861.0,577.0,0.0,342.0,71.0,65.0,40.0,0.82,280.0,56.0,27.0,250.0,105.0,0.2,,2.89
Dahod,Dadhela,8.0,917.0,614.0,0.0,342.0,78.0,48.0,61.0,1.2,280.0,32.0,37.0,230.0,123.0,5.2,,3.53
Dahod,Wadia,8.0,3200.0,2144.0,0.0,256.0,731.0,180.0,169.0,1.03,210.0,244.0,144.0,1200.0,174.0,10.6,0.0,2.18
Dahod,Badpa,8.0,1072.0,718.0,0.0,378.0,135.0,10.0,17.0,2.9,310.0,48.0,15.0,180.0,164.0,1.3,0.2,5.31
Dahod,Dahod urban 2,8.0,2095.0,1404.0,0.0,451.0,316.0,205.0,47.0,2.4,370.0,52.0,90.0,500.0,249.0,4.0,0.07,4.84
Dahod,Dahod urban 3,7.8,2464.0,1651.0,0.0,244.0,646.0,44.0,90.0,0.55,200.0,148.0,76.0,680.0,264.0,3.8,0.0,4.4
Dahod,Garadu,8.0,635.0,425.0,0.0,342.0,50.0,12.0,25.0,0.97,280.0,28.0,171.0,140.0,115.0,2.0,0.0,4.23
Dahod,Thada,8.0,437.0,293.0,0.0,195.0,43.0,15.0,32.0,1.15,160.0,44.0,22.0,200.0,32.0,5.1,2.04,0.98
Daman,Khariwad daman,7.72,1248.0,836.0,0.0,512.0,149.0,5.0,20.0,0.6,420.0,56.0,43.0,320.0,156.0,7.0,,3.79
Daman,Ambabari,7.94,1148.0,769.0,0.0,549.0,113.0,16.0,11.0,0.29,450.0,132.0,29.0,450.0,86.0,10.0,,1.76
Daman,Dabhel,7.64,712.0,477.0,0.0,281.0,92.0,13.0,4.0,0.27,230.0,76.0,36.0,340.0,17.0,0.4,,0.4
Daman,Dalwada,7.75,701.0,470.0,0.0,281.0,106.0,1.0,7.0,0.55,230.0,52.0,41.0,300.0,42.0,0.6,,1.05
Daman,Jempore,7.89,1150.0,771.0,0.0,537.0,71.0,42.0,15.0,0.6,440.0,100.0,46.0,440.0,70.0,7.0,,1.45
Daman,Manwad,7.98,746.0,500.0,0.0,390.0,43.0,5.0,10.0,0.14,320.0,72.0,29.0,300.0,44.0,0.8,,1.1
Daman,Warkhund,8.01,1460.0,978.0,0.0,415.0,262.0,14.0,14.0,0.7,340.0,64.0,79.0,490.0,116.0,8.0,,2.28
Diu,Diu,7.9,1208.0,809.0,0.0,488.0,135.0,13.0,7.0,0.7,400.0,40.0,19.0,180.0,199.0,34.2,0.57,6.45
Diu,Gomtimata,7.8,4065.0,2724.0,0.0,573.0,880.0,135.0,158.0,0.7,470.0,80.0,122.0,700.0,599.0,44.8,0.0,9.84
Diu,Jolawadi,7.4,11700.0,7839.0,0.0,244.0,3728.0,33.0,719.0,0.15,200.0,560.0,450.0,3250.0,1404.0,43.8,0.0,10.71
Gandhinagar,Paliya,7.8,1906.0,1277.0,0.0,659.0,227.0,100.0,142.0,1.1,540.0,56.0,115.0,620.0,219.0,0.0,0.0,3.82
Gandhinagar,Serthapara1,7.6,3100.0,2077.0,0.0,1293.0,319.0,34.0,35.0,2.1,1060.0,160.0,96.0,800.0,324.0,36.0,0.0,4.98
Jamnagar,Ambardi,7.7,2120.0,1420.0,0.0,345.0,398.0,175.0,71.0,0.48,283.0,112.0,83.0,620.0,206.0,3.7,,3.6
