District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
Amreli,Savar Kundla,Hipavadli,9.24,2417.0,1619.0,280.0,24.0,54.0,429.0,0.5,192.0,854.0,85.0,70.0,10.0,1.45,1020.0,0.098
Amreli,Jafrabad,Kadiyali,8.05,695.0,466.0,200.0,60.0,12.0,79.0,5.0,0.0,232.0,107.0,6.0,22.0,0.5,190.0,0.103
Amreli,Lalia,Sanaria,7.88,7103.0,4759.0,1300.0,160.0,219.0,1262.0,0.8,0.0,378.0,1243.0,16.0,1863.0,1.74,310.0,0.194
Anand,ANAND,Adas_DW,7.93,1389.0,931.0,620.0,68.0,108.0,68.0,1.3,0.0,539.0,99.0,88.0,108.0,0.43,442.0,0.000
Anand,ANKLAV,Anklav2,8.15,1675.0,1122.0,660.0,64.0,120.0,112.0,1.5,0.0,744.0,106.0,50.0,96.0,0.8,610.0,0.000
Anand,PETLAD,Bandhani,8.19,1447.0,969.0,380.0,112.0,24.0,153.0,29.0,0.0,512.0,177.0,42.0,4.0,0.9,420.0,0.089
Anand,BORSAD,Bhadran (Utiyapara),7.88,598.0,401.0,340.0,76.0,36.0,21.0,1.5,0.0,281.0,43.0,5.0,86.0,0.2,230.0,0.208
Anand,Anand,Boriyavi,8.09,1442.0,966.0,390.0,72.0,50.0,172.0,25.0,0.0,647.0,135.0,18.0,25.0,0.1,530.0,0.000
Anand,CAMBAY,Dali,8.2,4063.0,2722.0,950.0,200.0,108.0,501.0,19.0,0.0,1220.0,674.0,36.0,42.0,1.38,1000.0,0.013
Anand,PETLAD,Dharmaj,8.28,2604.0,1745.0,550.0,120.0,60.0,400.0,0.7,0.0,1135.0,248.0,100.0,49.0,1.3,930.0,0.00
Anand,UMRETH,Ghora,7.83,1709.0,1145.0,560.0,188.0,22.0,150.0,15.0,0.0,525.0,220.0,36.0,107.0,0.44,430.0,0.029
Anand,CAMBAY,Kansari1,8.18,3864.0,2589.0,850.0,140.0,120.0,580.0,1.2,0.0,622.0,815.0,32.0,392.0,0.83,510.0,0.029
Anand,CAMBAY,Laxmipura,8.4,4580.0,3069.0,650.0,100.0,96.0,780.0,3.4,156.0,598.0,780.0,10.0,449.0,2.2,750.0,0.000
Anand,UMRETH,Parvata,8.05,1165.0,781.0,330.0,56.0,46.0,153.0,0.8,0.0,573.0,78.0,30.0,52.0,1.09,470.0,0.000
Anand,BORSAD,Ras,8.47,1487.0,996.0,150.0,32.0,12.0,296.0,4.9,234.0,220.0,135.0,22.0,5.0,2.74,570.0,0.000
Anand,Tarapur,Tol,8.12,667.0,447.0,240.0,56.0,24.0,58.0,5.5,0.0,354.0,42.0,7.0,8.0,0.68,290.0,0.000
Banaskantha,AMIRGADH,Amirgadh,8.12,3220.0,2157.0,700.0,120.0,26.0,370.0,2.7,0.0,549.0,533.0,84.0,215.0,0.65,450.0,0.144
Banaskantha,THARAD,Bharol1,8.15,752.0,504.0,220.0,68.0,12.0,68.0,9.9,0.0,329.0,43.0,4.0,31.0,0.3,270.0,0.061
Banaskantha,DANTIWADA,Dantiwada1,7.88,527.0,353.0,180.0,44.0,17.0,37.0,0.7,0.0,183.0,43.0,22.0,28.0,0.65,150.0,0.143
Banaskantha,DANTA,Ganapipli,7.85,819.0,549.0,160.0,40.0,14.0,104.0,1.3,0.0,268.0,57.0,38.0,45.0,2.8,220.0,0.268
Banaskantha,DANTIWADA,Gangodra,8.03,3362.0,2253.0,1000.0,240.0,97.0,326.0,10.5,0.0,390.0,923.0,38.0,35.0,1.35,320.0,0.238
Banaskantha,AMIRGADH,Iqbalgarh,8.28,614.0,411.0,170.0,20.0,29.0,60.0,1.0,0.0,146.0,71.0,35.0,48.0,0.5,120.0,0.175
Banaskantha,THARAD,Khoda,8.28,1247.0,835.0,80.0,192.0,0.0,235.0,11.0,0.0,390.0,114.0,17.0,87.0,1.6,320.0,0.0
Banaskantha,DEESA,Meda,8.0,1120.0,750.0,130.0,24.0,4.0,190.0,2.1,0.0,342.0,99.0,29.0,88.0,2.4,280.0,0.001
Banaskantha,DANTA,Mohabbat gadh,7.81,2007.0,1345.0,540.0,168.0,29.0,117.0,2.7,0.0,159.0,369.0,129.0,28.0,1.2,130.0,0.042
Banaskantha,PALANPUR,Palanpur2,8.28,1755.0,1176.0,100.0,20.0,12.0,344.0,0.8,0.0,439.0,199.0,88.0,126.0,0.75,360.0,0.012
Banaskantha,DANTA,Ratanpur2,7.66,1348.0,903.0,390.0,100.0,34.0,83.0,4.0,0.0,134.0,199.0,126.0,71.0,0.4,110.0,0.028
Bharuch,BHARUCH,Bharuch,7.91,2644.0,1771.0,750.0,140.0,96.0,282.0,1.8,0.0,464.0,603.0,6.0,111.0,0.3,380.0,0.018
Bharuch,VAGRA,Bhensli,8.27,693.0,464.0,160.0,32.0,19.0,106.0,13.0,0.0,317.0,78.0,6.0,13.0,0.4,260.0,0.002
Bharuch,Jambusar,Chhindra,8.21,1103.0,739.0,360.0,72.0,43.0,96.0,47.0,0.0,403.0,121.0,68.0,10.0,0.26,330.0,0.059
Bharuch,JAMBUSAR,Dahegam,7.88,828.0,555.0,330.0,84.0,29.0,56.0,31.0,0.0,354.0,64.0,3.0,65.0,0.07,290.0,0.006
Bharuch,JAMBUSAR,Jambusar2,8.04,1000.0,670.0,330.0,88.0,26.0,108.0,18.4,0.0,439.0,64.0,50.0,70.0,0.11,360.0,0.018
Bharuch,HANSOT,Jetpur1,8.2,1754.0,1175.0,440.0,96.0,48.0,210.0,38.0,0.0,708.0,191.0,30.0,16.0,0.9,580.0,0.0
Bharuch,Valia,Jokhla,8.12,942.0,631.0,260.0,92.0,7.0,116.0,0.7,0.0,451.0,78.0,15.0,15.0,1.2,370.0,0.0
Bharuch,BHARUCH,Kaswa,7.24,683.0,458.0,310.0,64.0,36.0,35.0,20.0,0.0,366.0,42.0,10.0,17.0,0.12,300.0,0.0
Bharuch,VALIA,Kavachiya,8.03,506.0,339.0,200.0,48.0,19.0,36.0,0.3,0.0,281.0,21.0,17.0,3.0,0.3,230.0,0.041
Bharuch,JAMBUSAR,Kavi,8.41,1823.0,1221.0,200.0,32.0,29.0,159.0,300.0,120.0,561.0,128.0,60.0,20.0,0.5,660.0,0.002
Bharuch,VALIA,Kondh,8.1,1232.0,825.0,220.0,28.0,36.0,206.0,1.4,0.0,427.0,156.0,46.0,52.0,1.5,350.0,0.0
Bharuch,VAGRA,Luhara,8.47,2676.0,1793.0,650.0,100.0,96.0,200.0,250.0,204.0,536.0,284.0,96.0,114.0,0.34,779.0,0.044
Bharuch,BHARUCH,Mahegam1,8.07,656.0,440.0,200.0,60.0,12.0,60.0,7.7,0.0,317.0,43.0,10.0,0.0,0.3,260.0,0.53
Bharuch,ANKLESVAR,Motwan,8.02,3561.0,2386.0,850.0,180.0,96.0,462.0,12.5,0.0,439.0,744.0,16.0,400.0,0.8,360.0,0.142
Bharuch,Jhagadia,Mungaj,8.0,2435.0,1631.0,650.0,120.0,84.0,300.0,12.3,0.0,573.0,496.0,49.0,80.0,0.47,470.0,0.066
Bharuch,BHARUCH,Navetha,7.7,2637.0,1767.0,900.0,180.0,108.0,183.0,46.0,0.0,403.0,567.0,2.0,149.0,0.08,330.0,0.025
Bharuch,VAGRA,Nirnavi,8.13,860.0,576.0,290.0,56.0,36.0,98.0,16.6,0.0,476.0,50.0,5.0,35.0,0.45,390.0,0.0
Bharuch,ANKLESVAR,Panoli,7.94,2271.0,1522.0,500.0,80.0,72.0,307.0,0.5,0.0,610.0,354.0,50.0,113.0,1.5,500.0,0.195
Bharuch,HANSOT,Raymal,7.86,787.0,527.0,240.0,48.0,29.0,77.0,6.9,0.0,305.0,99.0,7.0,8.0,0.67,250.0,0.075
Bharuch,AMOD,Roja tankaria,8.03,762.0,511.0,240.0,56.0,24.0,87.0,13.6,0.0,317.0,106.0,5.0,12.0,0.34,260.0,0.117
Bharuch,Hansot,Sahol,7.31,5512.0,3693.0,2450.0,660.0,192.0,200.0,3.8,0.0,180.0,1524.0,8.0,529.0,1.0,148.0,0.11
Bharuch,ANKLESVAR,Sajod,8.84,1710.0,1146.0,170.0,16.0,31.0,343.0,2.5,192.0,390.0,128.0,20.0,67.0,2.68,640.0,0.075
Bharuch,JAMBUSAR,Sarod,8.02,1880.0,1260.0,410.0,44.0,72.0,246.0,6.6,0.0,1061.0,35.0,15.0,10.0,1.1,870.0,0.103
Bharuch,JHAGADIA,Simodra,8.29,1837.0,1231.0,300.0,36.0,50.0,257.0,4.3,0.0,281.0,418.0,13.0,19.0,0.33,230.0,0.022
Bharuch,Jambusar,Sindhav,8.07,1100.0,737.0,280.0,36.0,46.0,130.0,23.6,0.0,451.0,121.0,5.0,14.0,0.5,370.0,0.012
Bharuch,JAMBUSAR,Tankari,8.67,3000.0,2010.0,950.0,120.0,156.0,250.0,50.0,192.0,281.0,461.0,43.0,238.0,0.58,550.0,0.011
Bharuch,HANSOT,Utraj,8.09,800.0,536.0,190.0,32.0,26.0,106.0,1.8,0.0,439.0,35.0,3.0,6.0,0.68,360.0,0.069
Bharuch,Valia,Chiklata,7.77,860.0,576.0,290.0,52.0,38.0,67.0,0.4,0.0,390.0,57.0,35.0,4.0,0.8,320.0,0.025
Bharuch,Valia,Temroloya,7.82,562.0,377.0,190.0,68.0,5.0,60.0,1.5,0.0,281.0,43.0,26.0,6.0,0.4,230.0,0.612
Bhavnagar,Vallabhipur,Ayodhyapuram (Narayan dham),8.28,4850.0,3250.0,220.0,56.0,19.0,1061.0,1.0,0.0,1464.0,866.0,11.0,66.0,4.4,1200.0,0.0
Bhavnagar,BHAVNAGAR,Bhavnagar1,8.28,902.0,604.0,180.0,16.0,32.0,155.0,0.3,0.0,317.0,142.0,14.0,40.0,0.47,260.0,0.0
Bhavnagar,BHAVNAGAR,Bhumbhali,8.01,5461.0,3659.0,1200.0,120.0,219.0,687.0,19.8,0.0,390.0,1385.0,12.0,369.0,0.56,320.0,0.081
Bhavnagar,Mahuva,Bora,8.28,1433.0,960.0,50.0,12.0,7.0,320.0,1.8,0.0,671.0,85.0,40.0,35.0,2.2,550.0,0.0
Bhavnagar,TALAJA,Datha,7.96,4209.0,2820.0,480.0,48.0,88.0,756.0,4.8,0.0,293.0,1221.0,4.0,128.0,1.08,240.0,0.197
Bhavnagar,GADHADA,Dhasa,8.07,514.0,344.0,230.0,52.0,24.0,18.0,12.3,0.0,244.0,36.0,18.0,3.0,0.0,200.0,1.395
Bhavnagar,MAHUVA,Dudhala,8.01,1699.0,1138.0,460.0,56.0,78.0,175.0,2.8,0.0,403.0,270.0,120.0,25.0,0.75,330.0,2.07
Bhavnagar,GADHADA,Gadhada2,8.17,744.0,498.0,250.0,96.0,15.0,68.0,1.6,0.0,329.0,57.0,20.0,29.0,0.28,270.0,0.0
Bhavnagar,GARIADHAR,Gariyadhar,7.95,1987.0,1331.0,600.0,96.0,88.0,180.0,3.4,0.0,232.0,405.0,70.0,158.0,0.55,190.0,0.0
Bhavnagar,GHOGHA,Ghogha,8.19,4256.0,2852.0,400.0,32.0,78.0,762.0,63.2,0.0,488.0,909.0,300.0,110.0,0.38,400.0,0.137
Bhavnagar,PALITANA,Khijadiya,8.7,1195.0,801.0,70.0,12.0,10.0,242.0,0.3,120.0,122.0,142.0,7.0,81.0,1.2,300.0,0.0
Bhavnagar,Talaja,Kundheli,8.28,296.0,198.0,120.0,24.0,15.0,23.0,2.3,0.0,146.0,21.0,3.0,16.0,0.35,120.0,0.031
Bhavnagar,MAHUVA,Longadi,8.12,667.0,447.0,110.0,16.0,17.0,100.0,22.2,0.0,281.0,64.0,4.0,1.0,0.54,230.0,0.0
Bhavnagar,MAHUVA,Mahuva,8.28,2990.0,2003.0,160.0,40.0,15.0,620.0,1.4,0.0,854.0,540.0,37.0,3.0,1.23,700.0,0.0
Bhavnagar,MAHUVA,Motivadal,7.99,1171.0,785.0,400.0,48.0,68.0,97.0,6.2,0.0,329.0,149.0,95.0,49.0,0.28,270.0,0.06
Bhavnagar,GADHADA,Ningala,8.27,1150.0,771.0,110.0,24.0,12.0,225.0,1.7,0.0,476.0,114.0,20.0,27.0,0.75,390.0,0.0
Bhavnagar,PALITANA,Panchpipla,7.96,921.0,617.0,190.0,32.0,27.0,124.0,0.1,0.0,366.0,78.0,36.0,17.0,0.65,300.0,0.028
Bhavnagar,VALLABHIPUR,Panvi1,8.28,2129.0,1426.0,120.0,24.0,15.0,465.0,9.6,0.0,976.0,199.0,12.0,29.0,2.72,800.0,0.031
Bhavnagar,PALITANA,Sajnasar,8.11,1145.0,767.0,450.0,136.0,27.0,77.0,10.8,0.0,476.0,114.0,30.0,37.0,0.75,390.0,0.424
Bhavnagar,SIHOR,Sandhida,8.13,555.0,372.0,220.0,28.0,36.0,36.0,2.4,0.0,268.0,43.0,15.0,4.0,0.35,220.0,0.101
Bhavnagar,MAHUVA,Shantinagar,8.13,2358.0,1580.0,940.0,184.0,117.0,135.0,10.9,0.0,610.0,355.0,38.0,187.0,0.31,500.0,0.439
Bhavnagar,TALAJA,Talaja2,8.02,1314.0,880.0,490.0,32.0,88.0,105.0,0.5,0.0,281.0,249.0,66.0,75.0,0.38,230.0,0.0
Bhavnagar,BOTAD,Tardhera,8.21,2052.0,1375.0,680.0,176.0,56.0,220.0,2.0,0.0,73.0,660.0,64.0,99.0,0.15,60.0,0.156
Bhavnagar,GADHADA,Tatam,7.33,10930.0,7323.0,4450.0,540.0,754.0,450.0,59.8,0.0,195.0,3089.0,575.0,374.0,0.97,160.0,0.486
Bhavnagar,UMRALA,Timbi2,8.21,293.0,196.0,100.0,28.0,7.0,23.0,4.0,0.0,122.0,28.0,7.0,3.0,0.33,100.0,0.211
Bhavnagar,TALAJA,Trapaj,8.16,1498.0,1004.0,650.0,16.0,148.0,67.0,25.0,0.0,610.0,170.0,31.0,26.0,0.2,500.0,0.53
Bhavnagar,Vallabhipur,Vallbhipur,8.18,545.0,365.0,100.0,24.0,10.0,80.0,2.2,0.0,159.0,78.0,6.0,25.0,0.57,130.0,0.889
Bhavnagar,Ghogha,Vavdi,8.28,756.0,507.0,260.0,20.0,51.0,62.0,0.8,0.0,281.0,78.0,33.0,24.0,0.54,230.0,0.092
Daman,Daman,Dabhel,7.97,1297.0,869.0,370.0,76.0,44.0,135.0,0.4,0.0,488.0,171.0,3.0,15.0,0.33,400.0,3.169
Daman,Daman,Dalwada,8.07,752.0,504.0,230.0,44.0,29.0,80.0,2.2,0.0,378.0,43.0,31.0,7.0,0.0,310.0,0.534
Daman,Daman,Jempur,8.09,1033.0,692.0,290.0,56.0,36.0,112.0,22.2,0.0,512.0,64.0,12.0,11.0,0.4,420.0,0.293
Daman,Daman,Khariwad daman,8.14,1299.0,870.0,230.0,24.0,29.0,194.0,16.4,0.0,561.0,121.0,3.0,14.0,0.65,460.0,1.93
Daman,Daman,Warkund,7.71,1669.0,1118.0,510.0,60.0,88.0,158.0,1.0,0.0,512.0,263.0,40.0,23.0,0.7,420.0,0.164
Diu,DIU,Diu,8.28,3545.0,2375.0,360.0,40.0,63.0,635.0,41.2,0.0,561.0,838.0,0.0,79.0,0.4,460.0,0.0
Diu,DIU,Gomti Mata,8.19,4011.0,2687.0,720.0,56.0,14.0,583.0,40.0,0.0,476.0,937.0,175.0,112.0,0.2,390.0,0.103
Diu,DIU,Jalawali,7.54,14330.0,9601.0,4250.0,760.0,57.0,1674.0,45.2,0.0,134.0,5396.0,2.0,66.0,0.2,110.0,0.116
Diu,Diu,Butchwada,8.12,16770.0,11236.0,3000.0,320.0,535.0,2650.0,55.8,0.0,281.0,5645.0,50.0,407.0,0.7,230.0,0.209
Diu,Diu,Vichwadi,8.25,6216.0,4165.0,1800.0,260.0,280.0,580.0,55.8,0.0,293.0,1775.0,105.0,191.0,0.35,240.0,0.005
Dohad,Dhanpur,Ambakatch,7.92,1803.0,1208.0,540.0,72.0,86.0,163.0,7.2,0.0,842.0,128.0,9.0,10.0,1.2,690.0,0.044
Dohad,DEVGAD BARIA,Badpa,7.74,996.0,667.0,220.0,40.0,29.0,164.0,1.1,0.0,512.0,78.0,20.0,21.0,3.0,420.0,0.691
Dohad,LIMKHEDA,Dadhela,7.59,961.0,644.0,350.0,64.0,46.0,80.0,4.6,0.0,451.0,78.0,43.0,5.0,1.15,370.0,0.12
Dohad,DOHAD,Dahod Urban-1,7.67,1052.0,705.0,370.0,92.0,34.0,63.0,0.4,0.0,281.0,78.0,150.0,40.0,1.03,230.0,0.183
Dohad,DOHAD,Dahod Urban-2,7.56,2315.0,1551.0,640.0,104.0,122.0,210.0,6.6,0.0,500.0,298.0,170.0,115.0,1.66,410.0,0.293
Dohad,DOHAD,Dahod Urban-3,7.55,1583.0,1061.0,380.0,72.0,48.0,201.0,2.4,0.0,610.0,184.0,46.0,10.0,2.32,500.0,
Dohad,DOHAD,Dahod2,7.33,2454.0,1644.0,750.0,200.0,60.0,214.0,3.7,0.0,470.0,390.0,215.0,94.0,0.75,385.0,0.95
Dohad,DEVGAD BARIA,Devgadh Baria,7.7,990.0,663.0,320.0,64.0,38.0,75.0,2.3,0.0,390.0,85.0,12.0,29.0,0.87,320.0,0.208
Dohad,GARBADA,Garbara,7.91,4184.0,2803.0,1000.0,160.0,144.0,479.0,21.4,0.0,720.0,638.0,400.0,203.0,1.96,590.0,0.199
Dohad,JHALOD,Jhalod1,7.73,562.0,377.0,220.0,52.0,22.0,73.0,1.8,0.0,268.0,42.0,7.0,88.0,0.84,220.0,0.049
Dohad,DHANPUR,Kanjetha,7.86,785.0,526.0,310.0,72.0,31.0,60.0,3.2,0.0,451.0,35.0,9.0,11.0,0.84,370.0,0.081
Dohad,DEVGAD BARIA,Khandania,7.71,1000.0,670.0,660.0,76.0,113.0,43.0,1.5,0.0,378.0,92.0,20.0,279.0,2.0,310.0,0.0
Dohad,JHALOD,Limbdi,7.24,2300.0,1541.0,630.0,156.0,58.0,210.0,7.7,0.0,512.0,440.0,34.0,8.0,0.9,420.0,0.111
Dohad,JHALOD,Mirakhedi,7.74,957.0,641.0,380.0,116.0,22.0,63.0,1.3,0.0,427.0,64.0,74.0,13.0,0.9,350.0,0.0
Dohad,GARBADA,Panchwada,7.09,1219.0,817.0,430.0,80.0,55.0,115.0,3.5,0.0,647.0,92.0,3.0,12.0,1.15,530.0,2.887
Dohad,FATEPURA,Sarsava,7.31,805.0,539.0,360.0,116.0,17.0,29.0,7.5,0.0,403.0,35.0,21.0,23.0,0.8,330.0,1.347
Dohad,FATEPURA,Sukhsar,7.62,964.0,646.0,300.0,64.0,34.0,91.0,2.1,0.0,427.0,57.0,60.0,15.0,0.83,350.0,0.306
Dohad,DHANPUR,Tokarba,7.42,910.0,610.0,340.0,128.0,5.0,53.0,3.9,0.0,403.0,71.0,2.0,18.0,1.0,330.0,0.053
Dohad,DOHAD,Varamkheda,7.46,764.0,512.0,330.0,76.0,34.0,38.0,1.2,0.0,354.0,50.0,44.0,12.0,1.18,290.0,0.325
Dohad,LIMKHEDA,Wadia,7.44,876.0,587.0,300.0,52.0,46.0,82.0,5.6,0.0,403.0,64.0,48.0,14.0,1.16,330.0,0.706
Gandhinagar,DEHGAM,Paliya,8.18,2574.0,1725.0,580.0,56.0,107.0,258.0,1.8,0.0,464.0,298.0,144.0,208.0,0.85,380.0,0.363
Gandhinagar,GANDHINAGAR,Serthapara1,7.52,4692.0,3144.0,1300.0,80.0,268.0,572.0,62.8,0.0,1196.0,568.0,370.0,432.0,1.4,980.0,0.039
Jamnagar,BHANVAD,Ambardi,7.98,495.0,332.0,210.0,56.0,17.0,40.0,1.4,0.0,146.0,99.0,34.0,7.0,0.29,120.0,0.33
Jamnagar,JODIYA,Amran1,7.73,2469.0,1654.0,900.0,68.0,175.0,170.0,2.7,0.0,439.0,461.0,40.0,209.0,0.3,360.0,0.0
Jamnagar,Okhamandal,Aramda,7.75,13550.0,9079.0,3000.0,280.0,552.0,1800.0,18.5,0.0,281.0,3900.0,2.0,1062.0,1.25,230.0,0.006
Jamnagar,Jamjodhpur,Balwa,8.06,1062.0,712.0,380.0,68.0,50.0,96.0,0.2,0.0,183.0,156.0,110.0,121.0,0.26,150.0,0.0
Jamnagar,JAMNAGAR,Bed1,7.48,4956.0,3321.0,1700.0,260.0,252.0,365.0,6.4,0.0,403.0,1312.0,13.0,266.0,0.3,330.0,0.038
Jamnagar,JODIYA,Bedanpur,8.0,843.0,565.0,210.0,48.0,22.0,134.0,2.2,0.0,293.0,92.0,12.0,114.0,0.5,240.0,0.0
Jamnagar,BHANVAD,Bhanvad,7.61,5893.0,3948.0,1900.0,320.0,264.0,621.0,2.3,0.0,232.0,1454.0,94.0,870.0,0.43,190.0,0.0
Jamnagar,KALYANPUR,Bhogat1,7.82,1008.0,675.0,370.0,88.0,36.0,91.0,7.4,0.0,207.0,163.0,7.0,151.0,0.88,170.0,0.0
Jamnagar,JAMNAGAR,Changa,7.74,1493.0,1000.0,410.0,84.0,48.0,152.0,0.5,0.0,329.0,227.0,58.0,95.0,0.35,270.0,0.0
Jamnagar,DHROL,Dhrol2,8.1,1673.0,1121.0,350.0,96.0,26.0,219.0,0.9,0.0,110.0,369.0,65.0,149.0,0.39,90.0,0.0
Jamnagar,JODIYA,Dudhai2,8.29,977.0,655.0,180.0,36.0,22.0,161.0,2.8,0.0,195.0,99.0,5.0,213.0,0.94,160.0,0.0
Jamnagar,OKHAMANDAL,Dwarka,7.65,9035.0,6053.0,2300.0,240.0,408.0,1100.0,14.8,0.0,183.0,2624.0,62.0,711.0,0.83,150.0,0.0
Jamnagar,KALAVAD,Haripur2,7.8,1230.0,824.0,460.0,112.0,43.0,90.0,1.8,0.0,195.0,163.0,150.0,135.0,0.6,160.0,0.0
Jamnagar,JAMNAGAR,Jambuda,7.52,2330.0,1561.0,1000.0,280.0,72.0,100.0,0.2,0.0,183.0,603.0,68.0,144.0,0.39,150.0,0.008
Jamnagar,JAMNAGAR,Jamnagar2,7.79,1247.0,835.0,390.0,64.0,55.0,120.0,0.5,0.0,293.0,191.0,45.0,96.0,0.58,240.0,0.0
Jamnagar,KALYANPUR,Juvanpur,8.28,733.0,491.0,260.0,40.0,38.0,75.0,0.7,0.0,159.0,113.0,45.0,90.0,0.3,130.0,0.0
Jamnagar,KHAMBHALIA,Kajuda,7.78,1560.0,1045.0,520.0,112.0,58.0,136.0,0.4,0.0,195.0,340.0,56.0,119.0,0.44,160.0,0.0
Jamnagar,KALAVAD,Kalawad,7.75,1389.0,931.0,510.0,84.0,72.0,93.0,3.6,0.0,439.0,156.0,49.0,85.0,0.35,360.0,0.085
Jamnagar,OKHAMANDAL,Kalyanpur,7.91,1369.0,917.0,360.0,72.0,43.0,170.0,0.3,0.0,256.0,255.0,35.0,121.0,0.35,210.0,0.0
Jamnagar,KALYANPUR,Khirsara,6.86,3685.0,2469.0,1600.0,320.0,192.0,160.0,1.4,0.0,159.0,1028.0,40.0,303.0,0.39,130.0,0.0
Jamnagar,KHAMBHALIA,Kuvadia,7.93,4373.0,2930.0,1300.0,220.0,180.0,400.0,2.6,0.0,439.0,957.0,80.0,360.0,1.1,360.0,0.0
Jamnagar,LALPUR,Lalpur1,8.13,857.0,574.0,340.0,92.0,26.0,57.0,1.6,0.0,305.0,71.0,55.0,65.0,0.15,250.0,0.0
Jamnagar,OKHAMANDAL,Lambha 1,7.9,1882.0,1261.0,400.0,84.0,46.0,221.0,9.1,0.0,220.0,390.0,68.0,79.0,2.26,180.0,0.0
Jamnagar,OKHAMANDAL,Mojap,8.26,3514.0,2354.0,800.0,260.0,36.0,445.0,40.9,0.0,927.0,674.0,52.0,1.0,0.85,760.0,0.0
Jamnagar,BHANVAD,Mota kalawad,8.07,889.0,596.0,270.0,56.0,31.0,92.0,0.4,0.0,293.0,71.0,48.0,85.0,0.4,240.0,0.496
Jamnagar,KALAVAD,Moti matli,7.92,868.0,582.0,180.0,56.0,10.0,115.0,0.6,0.0,232.0,128.0,29.0,31.0,0.64,190.0,0.43
Jamnagar,KALAVAD,Nikava,7.12,1120.0,750.0,360.0,84.0,36.0,123.0,9.1,0.0,390.0,142.0,8.0,94.0,0.3,320.0,0.026
Jamnagar,KALYANPUR,Pindara1,8.08,3173.0,2126.0,950.0,180.0,120.0,300.0,4.9,0.0,268.0,745.0,36.0,277.0,0.43,220.0,0.0
Jamnagar,KALYANPUR,Raval,8.27,2699.0,1808.0,700.0,200.0,48.0,300.0,28.9,0.0,232.0,603.0,96.0,214.0,0.26,190.0,0.0
Jamnagar,OKHAMANDAL,Samrasar1,8.28,1378.0,923.0,290.0,64.0,31.0,200.0,1.4,0.0,207.0,248.0,62.0,144.0,0.4,170.0,0.0
Jamnagar,JAMJODHPUR,Seth vadala,7.86,1494.0,1001.0,610.0,80.0,98.0,90.0,4.5,0.0,561.0,121.0,33.0,140.0,0.26,460.0,0.064
Jamnagar,KALAVAD,Toda,7.89,990.0,663.0,460.0,100.0,50.0,44.0,0.4,0.0,195.0,106.0,125.0,137.0,0.3,160.0,0.0
Jamnagar,LALPUR,Vad panchasara,7.54,1984.0,1329.0,720.0,164.0,74.0,151.0,3.6,0.0,220.0,340.0,185.0,223.0,0.13,180.0,0.101
Jamnagar,KHAMBHALIA,Vadtara,8.11,791.0,530.0,280.0,92.0,12.0,71.0,0.2,0.0,183.0,92.0,76.0,87.0,0.53,150.0,0.0
Jamnagar,OKHAMANDAL,Varwada,8.29,5892.0,3948.0,1500.0,200.0,240.0,660.0,63.1,0.0,598.0,1276.0,38.0,564.0,1.5,490.0,0.149
Jamnagar,JAMNAGAR,Vijarkha,7.75,1017.0,681.0,330.0,76.0,34.0,100.0,0.4,0.0,268.0,142.0,13.0,109.0,0.3,220.0,0.0
Junagadh,VERAVAL,Ajotha,7.97,1692.0,1134.0,530.0,84.0,13.0,152.0,1.5,0.0,171.0,419.0,38.0,87.0,0.35,140.0,0.07
Junagadh,TALALA,Alwani,7.95,643.0,431.0,250.0,36.0,39.0,36.0,0.3,0.0,268.0,57.0,7.0,20.0,0.31,220.0,0.396
Junagadh,Talala,Amervel Nes,8.11,571.0,383.0,180.0,28.0,27.0,50.0,1.9,0.0,244.0,57.0,0.0,7.0,0.0,200.0,0.213
Junagadh,JUNAGADH,Anandpur,7.76,2238.0,1499.0,830.0,160.0,103.0,100.0,0.0,0.0,159.0,482.0,80.0,156.0,0.7,130.0,0.0
Junagadh,MANGROL,Antroli,7.98,11020.0,7383.0,2800.0,580.0,324.0,1190.0,37.0,0.0,220.0,3510.0,26.0,163.0,0.48,180.0,0.0
Junagadh,MANGROL,Bamanwara,7.54,5200.0,3484.0,2050.0,360.0,276.0,230.0,6.6,0.0,61.0,1666.0,48.0,77.0,0.35,50.0,0.0
Junagadh,MANAVADAR,Bantva,8.27,2825.0,1893.0,900.0,220.0,84.0,230.0,2.1,0.0,378.0,745.0,28.0,2.0,0.6,310.0,0.0
Junagadh,Talala,Bhim Deval,8.1,898.0,602.0,280.0,60.0,32.0,94.0,4.7,0.0,232.0,129.0,35.0,77.0,0.36,190.0,0.113
Junagadh,JUNAGADH,Bilkha,8.29,1963.0,1315.0,800.0,104.0,130.0,98.0,2.2,0.0,500.0,277.0,66.0,147.0,0.48,410.0,0.0
Junagadh,MALIA,Budhecha,7.87,1231.0,825.0,400.0,68.0,55.0,100.0,3.7,0.0,110.0,213.0,66.0,160.0,1.0,90.0,0.0
Junagadh,JUNAGADH,Chokli,8.53,1300.0,871.0,350.0,40.0,60.0,131.0,0.6,48.0,73.0,163.0,96.0,175.0,0.74,140.0,0.0
Junagadh,MALIA,Chorwad,7.48,11310.0,7578.0,4100.0,1320.0,192.0,685.0,16.0,0.0,232.0,3297.0,31.0,636.0,0.45,190.0,0.065
