District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
Kachchh,MUNDRA,Karagoga,8.35,7892.0,5288.0,450.0,80.0,61.0,1873.0,6.2,72.0,2855.0,1420.0,27.0,2.0,3.5,2460.0,0.271
Kachchh,ABDASA,Kharai_1,7.68,3019.0,2023.0,1050.0,340.0,49.0,293.0,14.5,0.0,366.0,675.0,4.0,402.0,0.2,300.0,0.2
Kachchh,BHACHAU,Kharoi,7.91,1484.0,994.0,510.0,88.0,71.0,110.0,8.3,0.0,329.0,241.0,12.0,119.0,0.4,270.0,0.357
Kachchh,BHUJ,Khavada,7.91,4743.0,3178.0,1300.0,240.0,170.0,560.0,16.1,0.0,281.0,1170.0,21.0,574.0,0.4,230.0,0.416
Kachchh,NAKHATRANA,Kotada,8.14,2740.0,1836.0,750.0,200.0,61.0,326.0,7.8,0.0,305.0,638.0,8.0,277.0,0.9,250.0,0.25
Kachchh,MANDVI,Kotadi,8.26,2653.0,1778.0,260.0,28.0,46.0,480.0,5.0,0.0,756.0,447.0,41.0,1.0,4.25,620.0,0.587
Kachchh,ABDASA,Kotaya,8.15,1608.0,1077.0,250.0,40.0,37.0,256.0,1.6,0.0,476.0,256.0,13.0,28.0,4.25,390.0,0.168
Kachchh,ABDASA,Kothara,7.85,3410.0,2285.0,600.0,160.0,49.0,426.0,25.4,0.0,561.0,639.0,17.0,132.0,0.9,460.0,0.711
Kachchh,RAPAR,Kuda,7.94,2156.0,1445.0,550.0,136.0,51.0,290.0,30.0,0.0,854.0,255.0,49.0,70.0,1.25,700.0,2.241
Kachchh,LAKHPAT,Lakhpat1,7.74,1436.0,962.0,480.0,112.0,49.0,145.0,13.6,0.0,476.0,220.0,10.0,77.0,0.8,390.0,0.181
Kachchh,RAPAR,Lilpur,8.1,7350.0,4925.0,2350.0,420.0,316.0,721.0,39.3,0.0,378.0,1667.0,130.0,1073.0,1.4,310.0,1.861
Kachchh,BHUJ,Lodai,7.99,4144.0,2776.0,1250.0,280.0,134.0,401.0,27.7,0.0,317.0,780.0,50.0,676.0,1.1,260.0,0.529
Kachchh,Mundra,Luni,7.98,2585.0,1732.0,350.0,80.0,37.0,410.0,10.1,0.0,354.0,589.0,12.0,95.0,0.5,290.0,0.119
Kachchh,LAKHPAT,Mata no madh,7.06,980.0,657.0,330.0,112.0,12.0,97.0,8.1,0.0,281.0,149.0,21.0,75.0,0.95,230.0,0.372
Kachchh,LAKHPAT,Moti cher,7.72,598.0,401.0,250.0,56.0,27.0,31.0,11.6,0.0,220.0,92.0,3.0,2.0,0.25,180.0,0.234
Kachchh,ABDASA,Naliya1,8.23,2337.0,1566.0,140.0,24.0,20.0,424.0,4.0,0.0,647.0,341.0,27.0,19.0,1.0,530.0,0.172
Kachchh,RAPAR,Rapar2,8.3,3153.0,2113.0,1150.0,260.0,122.0,297.0,39.3,0.0,244.0,638.0,50.0,616.0,0.95,200.0,0.338
Kachchh,BHACHAU,Ratanpur Khadir,8.2,4244.0,2843.0,1200.0,160.0,195.0,487.0,17.5,0.0,451.0,1028.0,16.0,388.0,1.25,370.0,1.032
Kachchh,BHACHAU,Samkhiari,7.77,3401.0,2279.0,750.0,120.0,110.0,510.0,14.3,0.0,662.0,852.0,48.0,49.0,3.5,543.0,0.103
Kachchh,BHUJ,Sedat,8.01,853.0,572.0,290.0,44.0,44.0,82.0,5.3,0.0,305.0,106.0,8.0,57.0,0.2,250.0,17.76
Kachchh,GANDHIDHAM,Shinaya,7.87,5231.0,3505.0,850.0,260.0,49.0,721.0,8.1,0.0,317.0,1420.0,3.0,119.0,0.95,260.0,0.122
