Well No.,District,Taluka,Location,Date,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR
W215800070523001,Rajkot,GONDAL,Gogavadar,May 2018,7.71,2232,1495.44,0,403,305,64,305,0.64,330,152,58.0,620,240,1.1,4.19
W224100070483001,Rajkot,TANKARA,Hadmatia,May 2018,7.47,2440,1634.8,0,183,482,62,341,0.42,150,176,78.0,760,220,1.1,3.47
W220530071030001,Rajkot,RAJKOT,Halenda,May 2018,7.63,2498,1673.66,0,390,454,130,175,0.43,320,104,119.0,750,222,3.5,3.52
W215330070290001,Rajkot,JAMKANDORNA,Jasapur,May 2018,7.71,1265,847.55,0,244,191,100,80,0.44,200,136,27.0,450,86,1.0,1.76
W220330071131501,Rajkot,JASDAN,Jasdan,May 2018,7.71,1124,753.08,0,220,191,70,55,0.32,180,120,19.0,380,83,1.3,1.85
W230119070550501,Rajkot,Morbi,Jetpur Pithad,May 2018,7.4,3607,2416.69,0,207,844,58,385,0.37,170,280,90.0,1070,340,1.5,4.52
W220907071115901,Rajkot,Jasdan,Kamlapur 1,May 2018,7.48,3570,2391.9,0,159,830,130,365,0.43,130,248,95.0,1010,360,1.3,4.93
W224300070464501,Rajkot,TANKARA,Lajai,May 2018,7.43,4914,3292.38,0,183,1383,150,225,0.48,150,360,214.0,1780,310,2.8,3.19
W220800071181501,Rajkot,JASDAN,Lalavadar,May 2018,7.76,762,510.54,0,244,85,22,41,0.49,200,88,15.0,280,46,0.8,1.2
W230005070534501,Rajkot,MORVI,Macchukunda,May 2018,8.21,1727,1157.09,0,232,340,29,162,1.34,190,130,74.0,630,114,7.6,1.97
W230530070454501,Rajkot,MALIYA,Malia,May 2018,7.77,692,463.64,0,244,64,5,52,0.63,200,40,27.0,210,58,9.7,1.74
W224900070503001,Rajkot,MORVI,Morvi,May 2018,7.76,1305,874.35,0,439,184,38,5,2.5,360,64,54.72,385,119,3.1,2.64
W225730070370001,Rajkot,MALIYA,Mota dhansura,May 2018,7.72,1824,1222.08,0,183,404,16,175,0.62,150,144,78.0,680,100,11.9,1.67
W214405070300501,Rajkot,JETPUR,Motagundala,May 2018,7.88,740,495.8,0,207,113,3,35,0.77,170,48,27.0,230,64,0.3,1.83
W222700070363001,Rajkot,PADDHARI,Movaiya,May 2018,7.31,6320,4234.4,0,134,1950,180,125,0.44,110,480,303.0,2445,330,0.6,2.9
W213840070154001,Rajkot,DHORAJI,Patanvav,May 2018,8.1,755,505.85,0,244,64,6,78,0.8,200,60,23.0,245,59,1.8,1.64
W214505070353001,Rajkot,JETPUR,Pedhla,May 2018,7.56,3050,2043.5,0,281,787,18,155,0.39,230,192,197.0,1290,110,1.9,1.33
W222200070554501,Rajkot,RAJKOT,Ranpur,May 2018,7.86,1160,777.2,0,195,227,43,55,0.44,160,72,61.0,430,70,0.5,1.47
W220730070460001,Rajkot,GONDAL,Ribda,May 2018,7.69,1040,696.8,0,293,121,36,84,0.3,240,88,43.0,395,61,0.4,1.33
W220830070590001,Rajkot,RAJKOT,Sardhar,May 2018,7.93,1756,1176.52,0,525,220,47,85,0.35,430,80,92.0,580,106,55.9,1.91
W225830070420001,Rajkot,MALIYA,Sarvad,May 2018,8.13,2400,1608.0,0,622,411,19,95,1.0,510,60,175.0,870,151,11.4,2.23
W223300070533001,Rajkot,WANKANER,Sindhavadar,May 2018,7.78,1861,1246.87,0,317,362,130,55,0.94,260,88,114.0,690,114,0.9,1.89
W215510070361501,Rajkot,JETPUR,Umrali,May 2018,7.77,2263,1516.21,0,98,553,60,210,0.41,80,100,156.0,890,103,1.1,1.5
W214455070163001,Rajkot,UPLETA,Upleta.,May 2018,8.05,2347,1572.49,0,573,355,75,138,4.5,470,32,185.0,840,153,0.7,2.3
W220130071073001,Rajkot,JASDAN,Viranagar,May 2018,7.99,2341,1568.47,0,427,418,115,135,0.91,350,80,178.0,930,114,0.7,1.63
W215100070414501,Rajkot,JETPUR,Virpur,May 2018,7.8,1835,1229.45,0,195,312,245,110,0.36,160,168,71.0,710,95,4.0,1.55
W231629073123001,Sabarkantha,Dhansura,Alwa Kampa,May 2018,8.28,808,541.36,0,256,99,34,47,1.09,210,116,2.0,300,60,0.9,1.51
W235909073124301,Sabarkantha,VIJAYNAGAR,Atarsumba_2,May 2018,7.59,921,617.07,0,207,135,54,35,0.8,170,68,22.0,260,85,2.2,2.29
W230730073123001,Sabarkantha,BAYAD,Boral,May 2018,7.82,2627,1760.09,0,342,638,125,128,0.95,280,180,168.0,1150,128,1.0,1.64
W231434072562701,Sabarkantha,Talod,Boriya,May 2018,7.31,2765,1852.55,0,220,674,155,98,0.58,180,160,108.0,850,240,1.4,3.58
W235524072511201,Sabarkantha,IDAR,Chandap_DW,May 2018,7.61,1353,906.51,0,159,255,65,38,1.1,130,116,31.0,420,78,5.2,1.65
W235400073071001,Sabarkantha,VADALI,Choriwad,May 2018,7.49,1924,1289.08,0,122,411,205,23,1.05,100,240,34.0,740,64,2.0,1.02
W232100073120001,Sabarkantha,DHANSURA,Dhansura,May 2018,7.78,1140,763.8,0,232,171,76,81,1.1,190,100,48.0,450,61,0.6,1.25
W233431073151101,Sabarkantha,MODASA,Gadada,May 2018,7.63,995,666.65,0,183,177,110,12,1.2,150,44,43.0,290,100,1.2,2.55
W234230072563001,Sabarkantha,HIMATNAGAR,Gadha1,May 2018,7.69,2535,1698.45,0,256,603,86,48,1.76,210,120,14.0,900,136,1.6,1.97
W232240073010001,Sabarkantha,TALOD,Harsol1,May 2018,7.97,1312,879.04,0,427,128,60,53,1.5,350,52,67.0,410,106,0.9,2.28
W235030073021501,Sabarkantha,IDAR,Idar,May 2018,8.13,1534,1027.78,0,366,262,65,32,2.82,300,88,48.0,420,160,4.8,3.39
W232000073180001,Sabarkantha,DHANSURA,Karanpur,May 2018,7.68,641,429.47,0,171,92,37,43,1.15,140,72,12.0,230,55,0.4,1.58
W235455073084301,Sabarkantha,Vadoli,Kesharpura,May 2018,8.19,1773,1187.91,0,354,248,225,41,3.0,290,48,91.0,500,173,0.3,3.36
W240145073030002,Sabarkantha,KHEDBRAHMA,Khedbramha_1,May 2018,7.6,4314,2890.38,0,134,1383,85,5,1.5,110,460,156.0,1800,167,4.4,1.71
W235810073140101,Sabarkantha,VIJAYNAGAR,Kherwada,May 2018,7.82,789,528.63,0,183,156,4,36,0.77,150,52,22.0,220,90,1.5,2.64
W232041073275201,Sabarkantha,MALPUR,Malpur_1,May 2018,7.6,751,503.17,0,159,71,88,84,1.0,130,76,29.0,310,38,0.3,0.94
W233609073091601,Sabarkantha,HIMATNAGAR,Mathasuliya,May 2018,7.61,1446,968.82,0,171,213,180,17,0.5,140,156,2.0,400,96,27.0,2.09
W240640073003001,Sabarkantha,KHEDBRAHMA,Matoda,May 2018,7.37,2920,1956.4,0,220,815,80,5,1.1,180,220,108.0,1000,192,17.0,2.64
W233043073162801,Sabarkantha,MODASA,Medasana,May 2018,7.65,1107,741.69,0,232,191,80,19,1.41,190,36,36.0,240,143,0.5,4.01
W232945073303002,Sabarkantha,MODASA,Megraj_1,May 2018,8.07,422,282.74,0,98,78,4,86,0.85,80,44,22.0,200,40,2.6,1.23
W232745073183001,Sabarkantha,MODASA,Modasa2,May 2018,7.58,975,653.25,0,159,191,75,37,0.65,130,56,34.0,280,103,2.5,2.68
W242230073020001,Sabarkantha,KHEDBRAHMA,Poshina2,May 2018,7.77,1385,927.95,0,427,213,26,17,1.37,350,32,58.0,320,173,4.6,4.2
W234010073102501,Sabarkantha,BHILODA,Punasan,May 2018,7.67,684,458.28,0,207,113,41,32,0.9,170,28,26.0,180,101,0.5,3.27
W233619072550901,Sabarkantha,HIMATNAGAR,Ramgarh,May 2018,8.1,2827,1894.09,0,342,780,13,7,0.94,280,180,96.0,850,260,18.4,3.88
W234915073070001,Sabarkantha,IDAR,Revas,May 2018,7.53,1670,1118.9,0,183,269,225,49,1.14,150,176,38.0,600,78,1.4,1.38
W235227072574701,Sabarkantha,IDAR,Sabalwad,May 2018,7.97,936,627.12,0,244,113,44,42,2.4,200,116,5.0,310,63,2.3,1.56
W231030073201501,Sabarkantha,BAYAD,Sathamba,May 2018,7.99,485,324.95,0,146,92,12,70,0.8,120,56,24.0,240,44,1.7,1.23
W232911073235501,Sabarkantha,MODASA,Seenawad,May 2018,7.45,1426,955.42,0,171,241,135,114,0.63,140,132,58.0,570,66,10.8,1.2
W234110073220001,Sabarkantha,BHILODA,Shamlaji,May 2018,7.88,534,357.78,0,146,71,4,111,0.65,120,76,12.0,240,47,1.1,1.32
W240030073070001,Sabarkantha,KHEDBRAHMA,Silwad,May 2018,7.45,5350,3584.5,0,317,1666,110,11,1.37,260,220,276.0,1700,480,10.2,5.06
