Well No.,District,Taluka,Location,Date,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR
W230230069113001,Kachchh,MANDVI,Kotadi,May 2018,8.77,2234,1496.78,54,305,355,64,182,2.9,340,40,49,300,366,2.0,9.19
W230230069043001,Kachchh,ABDASA,Kotaya,May 2018,8.56,1835,1229.45,36,415,305,18,78,2.2,400,36,39,250,316,3.3,8.69
W230943068544301,Kachchh,ABDASA,Kothara,May 2018,8.05,3558,2383.86,0,110,852,10,387,0.25,90,128,63,580,524,39.1,9.46
W235240070483101,Kachchh,RAPAR,Kuda,May 2018,8.19,893,598.31,0,207,135,7,87,1.8,170,40,41,270,89,5.4,2.35
W234843068442001,Kachchh,LAKHPAT,Lakhpat1,May 2018,8.1,1571,1052.57,0,146,291,10,246,0.45,120,72,80,510,134,6.7,2.58
W233040070390001,Kachchh,RAPAR,Lilpur,May 2018,7.99,5744,3848.48,0,134,1349,20,752,1.15,110,320,207,1650,547,32.0,5.85
W232400069533001,Kachchh,BHUJ,Lodai,May 2018,7.88,4335,2904.45,0,268,852,5,646,0.75,220,112,209,1140,449,24.0,5.78
W225224069484201,Kachchh,Mundra,Luni,May 2018,8.42,2992,2004.64,42,281,724,46,66,0.5,300,128,68,600,387,17.6,6.87
W233200068570001,Kachchh,LAKHPAT,Mata no madh,May 2018,8.12,945,633.15,0,171,156,24,114,0.8,140,72,27,290,98,7.0,2.5
W230435069175501,Kachchh,MANDVI,Mau Moti_1,May 2018,8.02,1567,1049.89,0,256,256,100,100,1.1,210,32,67,350,190,5.4,4.42
W234530068403001,Kachchh,LAKHPAT,Moti cher,May 2018,8.18,669,448.23,0,159,128,4,11,0.25,130,48,32,250,36,13.7,0.99
W231600068500001,Kachchh,ABDASA,Naliya1,May 2018,8.4,1439,964.13,36,329,178,28,92,1.0,330,20,17,120,269,4.3,10.68
W233400070381502,Kachchh,RAPAR,Rapar2,May 2018,7.94,3021,2024.07,0,134,596,46,466,1.0,110,144,146,960,242,35.9,3.4
W235139070214701,Kachchh,BHACHAU,Ratanpur Khadir,May 2018,7.83,2254,1510.18,0,146,511,1,226,0.9,120,80,39,360,335,14.9,7.68
W231800070303001,Kachchh,BHACHAU,Samkhiari,May 2018,7.93,4053,2715.51,0,256,1093,125,121,0.7,210,96,132,780,561,17.6,8.73
W230825069382001,Kachchh,BHUJ,Sedat,May 2018,8.06,850,569.5,0,232,107,10,127,0.3,190,52,49,330,71,7.3,1.7
W230200070031501,Kachchh,GANDHIDHAM,Shinaya,May 2018,7.7,6490,4348.3,0,146,2201,4,44,0.7,120,280,24,800,1157,10.1,17.79
W231230069370001,Kachchh,BHUJ,Sukhpar,May 2018,7.7,9368,6276.56,0,146,3018,120,396,1.9,120,400,243,2000,1355,7.3,13.17
W230202068545501,Kachchh,ABDASA,Suthri,May 2018,8.55,1780,1192.6,18,220,320,4,44,3.0,210,20,17,120,278,4.4,11.03
W231700068565001,Kachchh,ABDASA,Tera,May 2018,8.86,3862,2587.54,36,317,938,24,199,4.2,320,32,29,200,781,9.0,24.01
W232747069081701,Kachchh,NAKHATRANA,Ugardi,May 2018,8.54,3623,2427.41,12,98,1008,15,241,0.45,100,104,68,620,545,6.3,9.52
W230600069013001,Kachchh,ABDASA,Vinjhan1,May 2018,8.0,620,415.4,0,207,57,5,40,1.05,170,40,19,180,55,9.4,1.78
W224830073033001,Kheda,MAHUDHA,Alina,May 2018,7.59,12460,8348.2,0,134,4325,8,203,1.55,110,540,341,2750,1730,33.5,14.34
W224203072583601,Kheda,NADIAD,Alindra,May 2018,7.95,2523,1690.41,0,268,567,130,180,0.64,220,200,48,700,287,9.3,4.72
W225700073193001,Kheda,BALASINOR,Balasinor1,May 2018,8.23,642,430.14,0,98,106,24,80,0.92,80,56,26,250,40,1.6,1.1
W231005073244001,Kheda,VIRPUR,Bar,May 2018,8.29,3255,2180.85,0,842,603,40,89,1.5,690,160,132,950,108,400.0,1.52
W224315073113001,Kheda,THASRA,Kalesar,May 2018,8.21,1344,900.48,0,464,78,13,202,1.13,380,40,72,400,145,0.8,3.15
W224415072421501,Kheda,KHEDA,Kheda,May 2018,8.63,3775,2529.25,168,305,603,18,451,0.3,530,160,60,650,415,260.0,7.08
W225430073071501,Kheda,KATHLAL,Ladvel,May 2018,8.29,1699,1138.33,0,378,312,11,72,0.77,310,84,58,450,180,11.7,3.69
W224659073103601,Kheda,Tharsa,Muliyad,May 2018,8.1,2521,1689.07,0,659,390,24,180,1.55,540,160,72,700,280,21.0,4.6
W224100072530001,Kheda,NADIAD,Nadiad2,May 2018,8.41,636,426.12,108,24,21,9,77,0.71,200,52,19,210,50,0.4,1.5
W223430072373001,Kheda,MATAR,Shekhupura,May 2018,8.2,909,609.03,0,390,71,2,37,1.02,320,44,62,370,43,14.0,0.97
W233030072110001,Mahesana,BECHARAJI,Asjol,May 2018,8.12,565,378.55,0,244,33,16,23,0.05,200,74,11,230,25,17.5,0.72
W234330072230001,Mahesana,VISNAGAR,Bhandupara,May 2018,8.29,1014,679.38,0,244,98,42,137,0.38,200,18,54,270,114,11.0,3.02
W233245072064501,Mahesana,BECHARAJI,Dharpura,May 2018,8.27,1940,1299.8,0,573,245,8,114,1.1,470,28,39,230,330,41.5,9.46
W235030072270001,Mahesana,UNJHA,Dosaj,May 2018,8.03,1997,1337.99,0,268,408,33,92,0.44,220,55,22,230,320,50.0,9.17
W235315072364501,Mahesana,KHERALU,Kheralu1,May 2018,7.96,1912,1281.04,0,415,326,29,124,1.23,340,18,95,440,240,1.05,4.97
W233440072172001,Mahesana,MAHESANA,Maguna,May 2018,8.02,3502,2346.34,0,708,730,32,199,0.41,580,90,277,1270,270,22.5,3.29
W233745072203001,Mahesana,MAHESANA,Panchot,May 2018,8.17,2052,1374.84,0,451,319,7,178,0.13,370,46,35,260,300,80.0,8.09
W235330072310001,Mahesana,KHERALU,Rampura1,May 2018,8.24,5467,3662.89,0,1318,762,72,543,2.24,1080,92,110,690,970,15.95,16.06
W234800072210001,Mahesana,UNJHA,Sihi,May 2018,8.28,946,633.82,0,366,72,27,62,0.01,300,28,48,270,101,38.5,2.67
W234530072273001,Mahesana,VISNAGAR,Tarabh,May 2018,7.91,665,445.55,0,256,54,4,80,0.15,210,65,28,280,43,10.3,1.12
W235914072453201,Mahesana,SATLASANA,Timba_1,May 2018,8.2,1234,826.78,0,378,113,6,144,2.46,310,32,65,350,82,76.0,1.91
W235045072430002,Mahesana,KHERALU,Unad1,May 2018,7.75,1168,782.56,0,390,113,8,29,0.64,320,65,28,280,110,3.0,2.86
W234752072234001,Mahesana,UNJHA,Unjha,May 2018,8.2,3151,2111.17,0,390,532,165,167,1.25,320,46,66,390,460,89.0,10.13
W231450072180001,Mahesana,KADI,Vidaj,May 2018,8.22,1872,1254.24,0,488,277,28,50,0.02,400,74,18,260,200,140.0,5.39
W215330073390001,Narmada,NANDOD,Garudeshwar,May 2018,6.22,525,351.75,0,171,71,20,8,0.57,140,48,24,220,17,3.6,0.5
W215205073360001,Narmada,NANDOD,Hirapura,May 2018,7.97,760,509.2,0,268,92,13,19,0.98,220,76,24,290,40,1.5,1.02
W212932073354901,Narmada,Dediapada,Jankh,May 2018,7.55,690,462.3,0,232,71,33,23,0.8,190,100,17,320,10,0.9,0.24
W213115073384502,Narmada,DEDIAPADA,Kanbi pitha,May 2018,7.56,930,623.1,0,256,156,28,15,0.55,210,76,66,460,2,0.1,0.04
W213050073311001,Narmada,Dediapada,Khaidipada,May 2018,7.78,444,297.48,0,134,71,14,4,0.48,110,60,15,210,3,0.1,0.09
W214400073283001,Narmada,NANDOD,Khota amba,May 2018,7.72,750,502.5,0,268,85,8,25,0.8,220,40,61,350,10,0.5,0.23
W220240073372001,Narmada,TILAKWADA,Namaria,May 2018,7.89,3666,2456.22,0,317,837,200,215,0.87,260,48,277,1260,260,2.4,3.18
W214010073400001,Narmada,DEDIAPADA,Nani singlot,May 2018,8.15,750,502.5,0,214,135,11,5,0.55,175,72,24,280,47,0.4,1.22
W213636073390901,Narmada,Dediapada,Ralda,May 2018,8.09,765,512.55,0,195,99,6,72,0.49,160,56,22,230,68,0.4,1.95
W215030073280001,Narmada,NANDOD,Ringani,May 2018,7.75,680,455.6,0,220,35,9,95,0.56,180,44,34,250,38,2.0,1.04
