DISTRICT,LOCATION,PH,EC,TDS,TH,CA,MG,NA,K,CO3,HCO3,CL,NO3,SO4,F,ALK,YEAR,SAR,WQI,WQI_CLASSIF,EWQI,EWQI_CLASSIF,CCME-WQI,CCME-WQI_CLASSIF
Amreli,Vaghania juna,7.9,1785.0,1196.0,280.0,40.0,44.0,276.0,8.4,0.0,500.0,199.0,115.0,88.0,0.64,410.0,2017,,59.85247436063011,Poor,143.5563243066594,Unsuitable,265.4061905271674,
Amreli,Vankiya,8.21,936.0,627.0,110.0,24.0,12.0,181.0,1.2,0.0,378.0,99.0,31.0,24.0,0.87,310.0,2017,,62.72464997334236,Poor,73.8929703735424,Poor,246.68171938145343,
Amreli,Victor,8.92,1322.0,886.0,90.0,10.0,12.0,248.0,11.2,48.0,403.0,128.0,4.0,27.0,1.66,410.0,2017,,108.63847511565451,Unsuitable,90.78532087988616,Very Poor,320.56322493563397,
Amreli,Virpur,8.07,1024.0,686.0,450.0,104.0,46.0,61.0,14.0,0.0,488.0,78.0,25.0,48.0,0.5,400.0,2017,,49.583416452246375,Good,99.15976242874736,Very Poor,73.42783266914634,Fair
Amreli,Bhilidi,7.7,1867.0,1251.0,610.0,96.0,90.0,169.0,0.4,0.0,207.0,369.0,190.0,121.0,0.34,170.0,2017,,53.04654468717816,Poor,194.37859375211227,Unsuitable,287.6938564040292,
Amreli,Fifad,8.28,4239.0,2840.0,360.0,16.0,78.0,799.0,0.7,0.0,1025.0,753.0,42.0,138.0,1.4,840.0,2017,,109.36989340247769,Unsuitable,258.98728637230755,Unsuitable,236.9789641203293,
Amreli,Hinderana(Charnara),8.28,4390.0,2941.0,180.0,24.0,29.0,937.0,11.7,0.0,854.0,937.0,10.0,160.0,1.52,700.0,2017,,106.84609763326348,Unsuitable,246.6774270154967,Unsuitable,416.60834578738866,
Amreli,Hipavadli,9.24,2417.0,1619.0,280.0,24.0,54.0,429.0,0.5,192.0,854.0,85.0,70.0,10.0,1.45,1020.0,2017,,116.6098082801008,Unsuitable,172.2687433116547,Unsuitable,365.76577038153755,
Amreli,Kadiyali,8.05,695.0,466.0,200.0,60.0,12.0,79.0,5.0,0.0,232.0,107.0,6.0,22.0,0.5,190.0,2017,,40.72115260433743,Good,59.893988923092834,Poor,304.3345587563245,
Amreli,Sanaria,7.88,7103.0,4759.0,1300.0,160.0,219.0,1262.0,0.8,0.0,378.0,1243.0,16.0,1863.0,1.74,310.0,2017,,147.21586288028558,Unsuitable,506.72334178707865,Unsuitable,472.3277319842846,
Anand,Adas_DW,7.93,1389.0,931.0,620.0,68.0,108.0,68.0,1.3,0.0,539.0,99.0,88.0,108.0,0.43,442.0,2017,,56.64114824970113,Poor,148.33159495858413,Unsuitable,339.8654512972625,
Anand,Anklav2,8.15,1675.0,1122.0,660.0,64.0,120.0,112.0,1.5,0.0,744.0,106.0,50.0,96.0,0.8,610.0,2017,,78.40989611791628,Very Poor,158.32847287739682,Unsuitable,494.50155974937,
Anand,Bandhani,8.19,1447.0,969.0,380.0,112.0,24.0,153.0,29.0,0.0,512.0,177.0,42.0,4.0,0.9,420.0,2017,,69.99335255665167,Poor,116.37909994510215,Unsuitable,131.05969346580713,
Anand,Bhadran (Utiyapara),7.88,598.0,401.0,340.0,76.0,36.0,21.0,1.5,0.0,281.0,43.0,5.0,86.0,0.2,230.0,2017,,27.67298958198803,Good,65.57100889629977,Poor,131.17764648031311,
Anand,Boriyavi,8.09,1442.0,966.0,390.0,72.0,50.0,172.0,25.0,0.0,647.0,135.0,18.0,25.0,0.1,530.0,2017,,30.536411051172774,Good,110.42385545429828,Unsuitable,131.15874599344764,
Anand,Dali,8.2,4063.0,2722.0,950.0,200.0,108.0,501.0,19.0,0.0,1220.0,674.0,36.0,42.0,1.38,1000.0,2017,,116.29089351175752,Unsuitable,285.6777558723816,Unsuitable,351.2193181825867,
Anand,Dharmaj,8.28,2604.0,1745.0,550.0,120.0,60.0,400.0,0.7,0.0,1135.0,248.0,100.0,49.0,1.3,930.0,2017,,105.07007313470892,Unsuitable,202.57115134171568,Unsuitable,236.92006369745474,
Anand,Ghora,7.83,1709.0,1145.0,560.0,188.0,22.0,150.0,15.0,0.0,525.0,220.0,36.0,107.0,0.44,430.0,2017,,45.34268992340476,Good,135.6554223009358,Unsuitable,194.48710950715196,
Anand,Kansari1,8.18,3864.0,2589.0,850.0,140.0,120.0,580.0,1.2,0.0,622.0,815.0,32.0,392.0,0.83,510.0,2017,,84.94708429781076,Very Poor,284.01068349332206,Unsuitable,269.86602121972965,
Anand,Laxmipura,8.4,4580.0,3069.0,650.0,100.0,96.0,780.0,3.4,156.0,598.0,780.0,10.0,449.0,2.2,750.0,2017,,153.88598229335346,Unsuitable,298.87642179901064,Unsuitable,390.11139125350303,
Anand,Parvata,8.05,1165.0,781.0,330.0,56.0,46.0,153.0,0.8,0.0,573.0,78.0,30.0,52.0,1.09,470.0,2017,,79.20517514578927,Very Poor,101.6757712163772,Unsuitable,73.37923174605103,Fair
Anand,Ras,8.47,1487.0,996.0,150.0,32.0,12.0,296.0,4.9,234.0,220.0,135.0,22.0,5.0,2.74,570.0,2017,,162.3304028121347,Unsuitable,107.842121060363,Unsuitable,251.49747998113975,
Anand,Tol,8.12,667.0,447.0,240.0,56.0,24.0,58.0,5.5,0.0,354.0,42.0,7.0,8.0,0.68,290.0,2017,,52.6227385694937,Poor,62.661646643258734,Poor,246.6039730099319,
Banaskantha,Amirgadh,8.12,3220.0,2157.0,700.0,120.0,26.0,370.0,2.7,0.0,549.0,533.0,84.0,215.0,0.65,450.0,2017,,63.539058852164224,Poor,219.43938446584997,Unsuitable,316.504754809952,
Banaskantha,Bharol1,8.15,752.0,504.0,220.0,68.0,12.0,68.0,9.9,0.0,329.0,43.0,4.0,31.0,0.3,270.0,2017,,32.166450259456845,Good,60.95214758905204,Poor,188.95783772020792,
Banaskantha,Dantiwada1,7.88,527.0,353.0,180.0,44.0,17.0,37.0,0.7,0.0,183.0,43.0,22.0,28.0,0.65,150.0,2017,,47.33741336260709,Good,53.18321099401166,Poor,362.1065792414788,
Banaskantha,Ganapipli,7.85,819.0,549.0,160.0,40.0,14.0,104.0,1.3,0.0,268.0,57.0,38.0,45.0,2.8,220.0,2017,,157.4185647416856,Unsuitable,76.92819557846884,Very Poor,251.48884170039923,
Banaskantha,Gangodra,8.03,3362.0,2253.0,1000.0,240.0,97.0,326.0,10.5,0.0,390.0,923.0,38.0,35.0,1.35,320.0,2017,,106.96093055100222,Unsuitable,263.0563398099669,Unsuitable,269.908829950756,
Banaskantha,Iqbalgarh,8.28,614.0,411.0,170.0,20.0,29.0,60.0,1.0,0.0,146.0,71.0,35.0,48.0,0.5,120.0,2017,,45.03355843325816,Good,64.99237362547066,Poor,362.10129559031384,
Banaskantha,Khoda,8.28,1247.0,835.0,80.0,192.0,0.0,235.0,11.0,0.0,390.0,114.0,17.0,87.0,1.6,320.0,2017,,102.03450320719791,Unsuitable,98.68147056241928,Very Poor,194.63042526115447,
Banaskantha,Meda,8.0,1120.0,750.0,130.0,24.0,4.0,190.0,2.1,0.0,342.0,99.0,29.0,88.0,2.4,280.0,2017,,137.39191511274038,Unsuitable,84.13339923002458,Very Poor,251.49452852186585,
Banaskantha,Mohabbat gadh,7.81,2007.0,1345.0,540.0,168.0,29.0,117.0,2.7,0.0,159.0,369.0,129.0,28.0,1.2,130.0,2017,,87.51457221907629,Very Poor,169.83622051672415,Unsuitable,211.22691665389146,
Banaskantha,Palanpur2,8.28,1755.0,1176.0,100.0,20.0,12.0,344.0,0.8,0.0,439.0,199.0,88.0,126.0,0.75,360.0,2017,,62.24996042744976,Poor,124.90633217527498,Unsuitable,376.3383825458477,
Banaskantha,Ratanpur2,7.66,1348.0,903.0,390.0,100.0,34.0,83.0,4.0,0.0,134.0,199.0,126.0,71.0,0.4,110.0,2017,,43.26175677286682,Good,127.44104546739908,Unsuitable,194.7589792019748,
