YEAR,WELL NO.,LOCATION,DISTRICT,TALUKA,SITE,HCO3,DATE,ALK,TDS,SO4,SAR,NO3,CO3,EC,ID,NA,TH,FE,CA,MG,CL,PH,K,F
2017,,Ganapipli,Banaskantha,DANTA,,268.0,,220.0,549.0,45.0,,38.0,0.0,819.0,67.0,104.0,160.0,0.268,40.0,14.0,57.0,7.85,1.3,2.8
2017,,Gangodra,Banaskantha,DANTIWADA,,390.0,,320.0,2253.0,35.0,,38.0,0.0,3362.0,68.0,326.0,1000.0,0.238,240.0,97.0,923.0,8.03,10.5,1.35
2017,,Iqbalgarh,Banaskantha,AMIRGADH,,146.0,,120.0,411.0,48.0,,35.0,0.0,614.0,69.0,60.0,170.0,0.175,20.0,29.0,71.0,8.28,1,0.5
2017,,Khoda,Banaskantha,THARAD,,390.0,,320.0,835.0,87.0,,17.0,0.0,1247.0,70.0,235.0,80.0,0,192.0,0.0,114.0,8.28,11,1.6
2017,,Meda,Banaskantha,DEESA,,342.0,,280.0,750.0,88.0,,29.0,0.0,1120.0,71.0,190.0,130.0,0.001,24.0,4.0,99.0,8,2.1,2.4
2017,,Mohabbat gadh,Banaskantha,DANTA,,159.0,,130.0,1345.0,28.0,,129.0,0.0,2007.0,72.0,117.0,540.0,0.042,168.0,29.0,369.0,7.81,2.7,1.2
2017,,Palanpur2,Banaskantha,PALANPUR,,439.0,,360.0,1176.0,126.0,,88.0,0.0,1755.0,73.0,344.0,100.0,0.012,20.0,12.0,199.0,8.28,0.8,0.75
2017,,Ratanpur2,Banaskantha,DANTA,,134.0,,110.0,903.0,71.0,,126.0,0.0,1348.0,74.0,83.0,390.0,0.028,100.0,34.0,199.0,7.66,4,0.4
2017,,Bharuch,Bharuch,BHARUCH,,464.0,,380.0,1771.0,111.0,,6.0,0.0,2644.0,75.0,282.0,750.0,0.018,140.0,96.0,603.0,7.91,1.8,0.3
2017,,Bhensli,Bharuch,VAGRA,,317.0,,260.0,464.0,13.0,,6.0,0.0,693.0,76.0,106.0,160.0,0.002,32.0,19.0,78.0,8.27,13,0.4
2017,,Chhindra,Bharuch,Jambusar,,403.0,,330.0,739.0,10.0,,68.0,0.0,1103.0,77.0,96.0,360.0,0.059,72.0,43.0,121.0,8.21,47,0.26
2017,,Dahegam,Bharuch,JAMBUSAR,,354.0,,290.0,555.0,65.0,,3.0,0.0,828.0,78.0,56.0,330.0,0.006,84.0,29.0,64.0,7.88,31,0.07
2017,,Jambusar2,Bharuch,JAMBUSAR,,439.0,,360.0,670.0,70.0,,50.0,0.0,1000.0,79.0,108.0,330.0,0.018,88.0,26.0,64.0,8.04,18.4,0.11
2017,,Jetpur1,Bharuch,HANSOT,,708.0,,580.0,1175.0,16.0,,30.0,0.0,1754.0,80.0,210.0,440.0,0,96.0,48.0,191.0,8.2,38,0.9
2017,,Jokhla,Bharuch,Valia,,451.0,,370.0,631.0,15.0,,15.0,0.0,942.0,81.0,116.0,260.0,0,92.0,7.0,78.0,8.12,0.7,1.2
2017,,Kaswa,Bharuch,BHARUCH,,366.0,,300.0,458.0,17.0,,10.0,0.0,683.0,82.0,35.0,310.0,0,64.0,36.0,42.0,7.24,20,0.12
2017,,Kavachiya,Bharuch,VALIA,,281.0,,230.0,339.0,3.0,,17.0,0.0,506.0,83.0,36.0,200.0,0.041,48.0,19.0,21.0,8.03,0.3,0.3
2017,,Kavi,Bharuch,JAMBUSAR,,561.0,,660.0,1221.0,20.0,,60.0,120.0,1823.0,84.0,159.0,200.0,0.002,32.0,29.0,128.0,8.41,300,0.5
2017,,Kondh,Bharuch,VALIA,,427.0,,350.0,825.0,52.0,,46.0,0.0,1232.0,85.0,206.0,220.0,0,28.0,36.0,156.0,8.1,1.4,1.5
2017,,Luhara,Bharuch,VAGRA,,536.0,,779.0,1793.0,114.0,,96.0,204.0,2676.0,86.0,200.0,650.0,0.044,100.0,96.0,284.0,8.47,250,0.34
2017,,Mahegam1,Bharuch,BHARUCH,,317.0,,260.0,440.0,0.0,,10.0,0.0,656.0,87.0,60.0,200.0,0.53,60.0,12.0,43.0,8.07,7.7,0.3
2017,,Motwan,Bharuch,ANKLESVAR,,439.0,,360.0,2386.0,400.0,,16.0,0.0,3561.0,88.0,462.0,850.0,0.142,180.0,96.0,744.0,8.02,12.5,0.8
2017,,Mungaj,Bharuch,Jhagadia,,573.0,,470.0,1631.0,80.0,,49.0,0.0,2435.0,89.0,300.0,650.0,0.066,120.0,84.0,496.0,8,12.3,0.47
2017,,Navetha,Bharuch,BHARUCH,,403.0,,330.0,1767.0,149.0,,2.0,0.0,2637.0,90.0,183.0,900.0,0.025,180.0,108.0,567.0,7.7,46,0.08
2017,,Nirnavi,Bharuch,VAGRA,,476.0,,390.0,576.0,35.0,,5.0,0.0,860.0,91.0,98.0,290.0,0,56.0,36.0,50.0,8.13,16.6,0.45
2017,,Panoli,Bharuch,ANKLESVAR,,610.0,,500.0,1522.0,113.0,,50.0,0.0,2271.0,92.0,307.0,500.0,0.195,80.0,72.0,354.0,7.94,0.5,1.5
2017,,Raymal,Bharuch,HANSOT,,305.0,,250.0,527.0,8.0,,7.0,0.0,787.0,93.0,77.0,240.0,0.075,48.0,29.0,99.0,7.86,6.9,0.67
2017,,Roja tankaria,Bharuch,AMOD,,317.0,,260.0,511.0,12.0,,5.0,0.0,762.0,94.0,87.0,240.0,0.117,56.0,24.0,106.0,8.03,13.6,0.34
2017,,Sahol,Bharuch,Hansot,,180.0,,148.0,3693.0,529.0,,8.0,0.0,5512.0,95.0,200.0,2450.0,0.11,660.0,192.0,1524.0,7.31,3.8,1.0
2017,,Sajod,Bharuch,ANKLESVAR,,390.0,,640.0,1146.0,67.0,,20.0,192.0,1710.0,96.0,343.0,170.0,0.075,16.0,31.0,128.0,8.84,2.5,2.68
2017,,Sarod,Bharuch,JAMBUSAR,,1061.0,,870.0,1260.0,10.0,,15.0,0.0,1880.0,97.0,246.0,410.0,0.103,44.0,72.0,35.0,8.02,6.6,1.1
2017,,Simodra,Bharuch,JHAGADIA,,281.0,,230.0,1231.0,19.0,,13.0,0.0,1837.0,98.0,257.0,300.0,0.022,36.0,50.0,418.0,8.29,4.3,0.33
2017,,Sindhav,Bharuch,Jambusar,,451.0,,370.0,737.0,14.0,,5.0,0.0,1100.0,99.0,130.0,280.0,0.012,36.0,46.0,121.0,8.07,23.6,0.5
2017,,Tankari,Bharuch,JAMBUSAR,,281.0,,550.0,2010.0,238.0,,43.0,192.0,3000.0,100.0,250.0,950.0,0.011,120.0,156.0,461.0,8.67,50,0.58
2017,,Utraj,Bharuch,HANSOT,,439.0,,360.0,536.0,6.0,,3.0,0.0,800.0,101.0,106.0,190.0,0.069,32.0,26.0,35.0,8.09,1.8,0.68
2017,,Chiklata,Bharuch,Valia,,390.0,,320.0,576.0,4.0,,35.0,0.0,860.0,102.0,67.0,290.0,0.025,52.0,38.0,57.0,7.77,0.4,0.8
2017,,Temroloya,Bharuch,Valia,,281.0,,230.0,377.0,6.0,,26.0,0.0,562.0,103.0,60.0,190.0,0.612,68.0,5.0,43.0,7.82,1.5,0.4
2017,,Ayodhyapuram(Narayan dham),Bhavnagar,Vallabhipur,,1464.0,,1200.0,3250.0,66.0,,11.0,0.0,4850.0,104.0,1061.0,220.0,0,56.0,19.0,866.0,8.28,1,4.4
2017,,Bhavnagar1,Bhavnagar,BHAVNAGAR,,317.0,,260.0,604.0,40.0,,14.0,0.0,902.0,105.0,155.0,180.0,0,16.0,32.0,142.0,8.28,0.3,0.47
2017,,Bhumbhali,Bhavnagar,BHAVNAGAR,,390.0,,320.0,3659.0,369.0,,12.0,0.0,5461.0,106.0,687.0,1200.0,0.081,120.0,219.0,1385.0,8.01,19.8,0.56
2017,,Bora,Bhavnagar,Mahuva,,671.0,,550.0,960.0,35.0,,40.0,0.0,1433.0,107.0,320.0,50.0,0,12.0,7.0,85.0,8.28,1.8,2.2
2017,,Datha,Bhavnagar,TALAJA,,293.0,,240.0,2820.0,128.0,,4.0,0.0,4209.0,108.0,756.0,480.0,0.197,48.0,88.0,1221.0,7.96,4.8,1.08
2017,,Dhasa,Bhavnagar,GADHADA,,244.0,,200.0,344.0,3.0,,18.0,0.0,514.0,109.0,18.0,230.0,1.395,52.0,24.0,36.0,8.07,12.3,0.0
2017,,Dudhala,Bhavnagar,MAHUVA,,403.0,,330.0,1138.0,25.0,,120.0,0.0,1699.0,110.0,175.0,460.0,2.07,56.0,78.0,270.0,8.01,2.8,0.75
2017,,Gadhada2,Bhavnagar,GADHADA,,329.0,,270.0,498.0,29.0,,20.0,0.0,744.0,111.0,68.0,250.0,0,96.0,15.0,57.0,8.17,1.6,0.28
2017,,Gariyadhar,Bhavnagar,GARIADHAR,,232.0,,190.0,1331.0,158.0,,70.0,0.0,1987.0,112.0,180.0,600.0,0,96.0,88.0,405.0,7.95,3.4,0.55
2017,,Ghogha,Bhavnagar,GHOGHA,,488.0,,400.0,2852.0,110.0,,300.0,0.0,4256.0,113.0,762.0,400.0,0.137,32.0,78.0,909.0,8.19,63.2,0.38
2017,,Khijadiya,Bhavnagar,PALITANA,,122.0,,300.0,801.0,81.0,,7.0,120.0,1195.0,114.0,242.0,70.0,0,12.0,10.0,142.0,8.7,0.3,1.2
2017,,Kundheli,Bhavnagar,Talaja,,146.0,,120.0,198.0,16.0,,3.0,0.0,296.0,115.0,23.0,120.0,0.031,24.0,15.0,21.0,8.28,2.3,0.35
2017,,Longadi,Bhavnagar,MAHUVA,,281.0,,230.0,447.0,1.0,,4.0,0.0,667.0,116.0,100.0,110.0,0,16.0,17.0,64.0,8.12,22.2,0.54
2017,,Mahuva,Bhavnagar,MAHUVA,,854.0,,700.0,2003.0,3.0,,37.0,0.0,2990.0,117.0,620.0,160.0,0,40.0,15.0,540.0,8.28,1.4,1.23
2017,,Motivadal,Bhavnagar,MAHUVA,,329.0,,270.0,785.0,49.0,,95.0,0.0,1171.0,118.0,97.0,400.0,0.06,48.0,68.0,149.0,7.99,6.2,0.28
2017,,Ningala,Bhavnagar,GADHADA,,476.0,,390.0,771.0,27.0,,20.0,0.0,1150.0,119.0,225.0,110.0,0,24.0,12.0,114.0,8.27,1.7,0.75
2017,,Panchpipla,Bhavnagar,PALITANA,,366.0,,300.0,617.0,17.0,,36.0,0.0,921.0,120.0,124.0,190.0,0.028,32.0,27.0,78.0,7.96,0.1,0.65
2017,,Panvi1,Bhavnagar,VALLABHIPUR,,976.0,,800.0,1426.0,29.0,,12.0,0.0,2129.0,121.0,465.0,120.0,0.031,24.0,15.0,199.0,8.28,9.6,2.72
